0	Einsi leissierent celui jor et toute la semainne 	EInssi lessierent celui ior et toute la semaine. 	0
1	tant que Lanceloz fu gariz 	tant que lanc̃. fu gariz 	1
2	et vient au chevalier 	et uient au cheualier. 	2
3	qui avoit a non Carmadam et le mercie moult de ce 	qui auoit a non Carmadan. et le mercie molt de ce 	3
4	qu’il li avoit fait. « 	quil li auoit fet. Sire fet il. 	4
5	Si m’aïst Diex, je ne fuisse mie 	si mait diex. |ge ne fusse mie 	5|6
6	si liez por le millor chastel 	si liez |por le meilleur chastel	7|8
7	que li rois Artus ait comme de ce 	que li rois artur ait. |comme ge sui de ce 	9|10
8	que vos estes gariz. 	que uous estes gariz. 	11
9	Si m’an est grant honors avenue. 	si men est grant honeur auenue 	12
10	quant tant avez demoré en mon ostel. « Biax sire, fait Lanceloz, je m’en voldrai demain aler, 	quant tant auez demore en mon hostel. |Biax sire fet lancelot. ge men uoudrai demain aler.	13|14
11	si vos demant congié. — Sire, fet il, jel vos otroi, 	Si uous demant congie. Sire fet il. |et ge le uous otroi	15|16
12	puis qu’il vos plaist,	puis quil uous plest. 	17
13	car outre vostre volenté ne vos retanroie je mie. 	Car outre uostre uolente ne uous retendroie ge mie. 	18
14	Et alez, fait il, 	et alez uous en fet il 	19
15	que Nostre Sires vos conduie en quel que leu 	que nostre sire diex uous conduie. en quel lieu 	20
16|17	que vos ailliez. — |Diex le face », fait Lanceloz. 	que uos irez.diex le face fet lanc̃. 	21
18	Cele nuit fist li chevaliers plus grant feste 	CEle nuit fist li cheualer plus grant feste 	22
19	qu’il n’avoit fait devant. Au matin 	quil nauoit fet deuant. Au matin 	23
20	quant Lanceloz fu levez, la pucele vint a lui, 	quant lanc̃. fu leuez. la pucele uint a lui. 	24
21	et quant il la vit,	Et quant il la uit 	25
22	si li dist: « Bele douce amie, bien puissiez vos venir! je m’en voil aler a vostre congié. — Sire, fait ele, vos savez bien les couvenances 	si li dist. bele douce amie |bien puissiez uos uenir. Ie men uoil aler a uostre congie. Sire fet elle : uous sauez bien les coueuances 	26|27
23	qui sont entre moi et vos 	qui sont entre moi et uos. 	28
24	et je ne sai 	Et ge ne sai quant 	29
25	quant je vos reverrai mes. 	ge uos uerrai mes. 	30
26	Et por ce vos demant je J. de voz joiaux 	Et por ce uos demande ge .i. de uos ioiaux 	31
27	que je puisse garder 	que ge puisse garder 	32
28	por l’amor de vos,	por lamor de uous. 	33
29	quant vos en serez 	quant uous en serez alez. 	34
30	alez,si que je vos en aie plus en remanbrance. — 	si que ie uous en aie plus en remembrance. 	35
31	Certes, damoiselle, fait il, volentiers. » 	Certes damoisele fet il uolenters. 	36
32	Lors prant une soie ceinture a membres d’or 	Lors prent une seue ceinture a membrez dor. 	37
33	qu’il avoit çeinte 	quil auoit ceinte. 	38
34	que la roine li avoit donnee 	que la royne li auoit donee. 	39
35	et dist: « Damoisele, tenez. Sachiez 	et dit tenez damoisele. sachiez 	40
