0	Einsi leissierent celui jor et toute la semainne 	AInsi passerent celluy iour et toute la sepmaine/ 	0
1|2	tant que Lanceloz fu gariz |et vient au chevalier 	tant que lancelot fut gari. si uint au cheualier 	1
3	qui avoit a non Carmadam et le mercie moult de ce 	qni auoit uen cramadin |et le mercie monlt de ce 	2|3
4|5	qu’il li avoit fait. « |Si m’aïst Diex, je ne fuisse mie 	quil luy auoit fait. Sire fait le cheualier ie ne feusses mie si ioyeux/ 	4
6	si liez por le millor chastel 	pour le meilleur chastel 	5
7	que li rois Artus ait comme de ce 	que le roy artus ait/ comme de ce 	6
8	que vos estes gariz. 	que uous estes gari/ 	7
9	Si m’an est grant honors avenue. 	si men est grant honneur aduenu/ 	8
10	quant tant avez demoré en mon ostel. « Biax sire, fait Lanceloz, je m’en voldrai demain aler, 	quant tant aues demoure en men hostel. Beau sire fait lancelot/ ie men uouldroie demain aller/ 	9
11|12	si vos demant congié. — Sire, fet il, jel vos otroi, |puis qu’il vos plaist,	si uous demande congie. Sire fait le cheualier ie le uous octroy puys quil uous plaist/ 	10
13	car outre vostre volenté ne vos retanroie je mie. 	car oultre uostre uoulente/ |ne uous retendroie ie pas/ 	11|12
14	Et alez, fait il, 		
15|16	que Nostre Sires vos conduie en quel que leu |que vos ailliez. — 	nostre seigneur uous cenduise en quel que lieu 	13
17	Diex le face », fait Lanceloz. 		
18|19	Cele nuit fist li chevaliers plus grant feste |qu’il n’avoit fait devant. Au matin 	que uous ailles/ dieu le fache fist lancelot. AU matin 	14
20	quant Lanceloz fu levez, la pucele vint a lui, 	quant lancelot fut leue/ la pu celle uint a luy/	15
21	et quant il la vit,	et quant il la ueist 	16
22	si li dist: « Bele douce amie, bien puissiez vos venir! je m’en voil aler a vostre congié. — Sire, fait ele, vos savez bien les couvenances 	si luy dit. Belle doulce amie bien soies uenue/ ie men ueult aller a uostre cengie. Sire fit elle uous sauez bien les cenuenances 	17
23	qui sont entre moi et vos 	qui sont entre uous et moy. 	18
24	et je ne sai 	Et ie ne scay 	19
25	quant je vos reverrai mes. 	quant ie uous uerray mes 	20
26	Et por ce vos demant je J. de voz joiaux 	si uous prie |qu il uous plaise de me laissier ung de uoz ioyaulx 	21|22
27|28	que je puisse garder |por l’amor de vos,	que ie puisse garder pour lamour de uous/ 	23
29	quant vos en serez 	quant uous en seres alle/ 	24
30	alez,si que je vos en aie plus en remanbrance. — 	si|que ie uous en aye plus en remembrance. 	25|26
31	Certes, damoiselle, fait il, volentiers. » 	Certes damoiselle fist il uoullentiers/ 	27
32	Lors prant une soie ceinture a membres d’or 	lors prent une sienne chaincture a membres dor/ 	28
33	qu’il avoit çeinte 	qu il auoit chaincte 	29
34	que la roine li avoit donnee 	que la roynecluy auoit dennee 	30
35	et dist: « Damoisele, tenez. Sachiez 	et dist/ tenes damoyselle sachies 	31
36	qu’il n’a el monde dame ne damoisele 	qu il ny a eu mende dame ne damoiselle 	32
37	a cui je la donnasse. » 	a qui ie la donnasse/ 	33
38	Et cele l’an mercie moult, 	et celle len mercie menlt 	34
39	si la prant joieuse et liee, 	si la print lyee |et iopeuse.	35|36
40	puis li donna J. fermail d’or 	et elle lui denne ung fermail dor/ 	37
41	et li prie 	si luy prie 	38
42	qu’il le port a son col 	quil le porte a son col 	39
43	por l’amor de lui, 	pour lamour de elle/ 	40
44	et il dist 	et celluy luy dist	41
45	que si fera il volentiers. 	que si fera il uoullentiers. 	42
46	Lors demande ses armes 	Lors demanda ses armes/ 	43
47	et l’an li aporte; 		
48	et quant il fu armez bien et bel, 	et quant il fut arme bien et bel/ 	44
49	si prant congié a touz cels de laienz 	si print cengie a tous ceulx de leans/ 	45
50	et puis monte en son cheval 		
51	et s’em part entre lui et Lyonel et la vielle 	et sen part entre lui et lyennel. 	46
52|53	qui les mainne tant amont et aval |qu’il vindrent au chastel 	Et sa uieille le maine tout droit au chastel 	47
54	que li. V. frere tenoient 	que les cinq freres tenoient |que le duc 	48|49
55	que li dus Karles lor peres guerreoit, cil a cui Gaheriez aidoit. 	karles leur pere guerrioit/ |cellny 	50|51
		a qui gaheriet aidoit/ 	52
56	Et quant Lanceloz i vint, il avoient ja perdu toute lor terre ne mes I. chastiax 	et quant lancelot |uint ilz auoient ia toute perdue leur terre 	53|54
		fors que ung chastel 	55
57	dont il n’osoient issir 	denc ilz nosoient issir. 	56
