0	Or dit li contes 	OR dit li contes 	0
1|2	que, |quant mesire Gauvain 	que quant messires G. 	1
3	se fu partis d’Estor,	ce fu partiz de h̾. 	2
4	que a il erra tot le droit chemin de la forest 	quil tote ior le droit chemin de la forest. 	3
5|6	tant|que ce vint aprés none. 	Tant que ce uint apres none. 	4
7	Et tors voit sor destre un paveillon tendu les le rieu d'une fontaine. II torne cele part 	et lors uoit sor destre .i. pauillon tandu selonc le ru dune fontainne. |et il torne cele part 	5|6
8	por savoir	por sauoir	7
9	qui dedens est, 	qui dedens est. 	8
10	et quant il vient a Puis, 	et quant il uint dedens 	9
11	si voit dedens jusqu’a VI. homes 	si uoit iusqua .ui. homes 	10
12	qui menjoient a terre sor l’erbe fresche ». Mesire Gauvain n'avoit mengié de tot le jor, 	qui manipient sor lerbe fresche. |et messires .G. nauoit menge de tout le ior. 	11|12
13	si en avoit il grant talent; 	Si on auoit il si grant mestier 	13
14	et por ce descent il, 	que por ice dessent 	14
15|16	si atachie son destrier a un arbre |et pent son escu a une branchie, 	et atache son destrier a une branche. 	15
17	puis entre el paveillon	puis entre en pauillon. 	16
18	et salue cels 	et salue ciax 	17
19	qui al mengier seoient; 	qui au mengier estoient. 	18
20	mais il n’i celui 	mais il ni a celui 	19
21	qui mot li die, 	qui mot li die. 	20
22	ains le regardent tuit molt felenessement. 	Ains le regardent tuit mout felenestement et	21
23	Et quant il voit 	quant il uoit 	22
24	qu’il ne respondront rien, 	quil ne respondent rien. 	23
25	si ne laisse mie por ce	si ne laisse mie por ce 	24
26	qu’il ne s’asiee, i’espee çainte, 	quil ne saciee lespee sainte. 	25
27	et oste son hialme de sa teste	et oste son hiaume de sa teste 	26
28	et le met delés lui; 	et le met deles lui. 	27
29|30	puis commence a mengier molt durement, |comme cil 	et comance a mengier mout durement. comme ciz 	28
31	qui grant fain avoit, 	qui grant fain auoit. 	29
32	et dist a celui delés 	et dit a celui 	30
33	cui il seoit «Mengiés, bials sire, 	qui deles lui seoit mengiez biau sire 	31
34	et fetes bele chiere ! — 	et si faites bele chiere. 	32
