0	avoir trové. » 	porce |que io le uodroie auoir troue 	0|1
1	Si li conte tote s’aventure issi com vos avés oi dire ça arrieres. 	Si li conte tote sauenture ainsi com li contes la retraite. 	2
2	tant qu’il conoist bien 	Tant que il quenoit bien 	3
3	que c’est il 	que cest ele 	4
4	qu’ele quiert a, 	que il le quiert. 	5
5	Mais por le coros de la mort al seneschal ne se volt fere conoistre, 	mais por le corrous |quil auoit de la mort au seneschal: ne se wet faire 	6|7
6	ains li respont: « 	quenoistre a li|si li dit. 	8|9
7	Certes, damoisele, chevalier 	Certes damoisele 	10
8	qui porte escu blanc ne conois je nul. — En non Dieu, sire, fet ele, ce poise moi chierement. » 	qui port escu blanc ne sai ie nul. |En no dieu fait ele de ce me poise il trop durement. 	11|12
9	Et il n’en tient plus a li parole, 	et il ne tient plus a li parole. |Ains sen part	13|14
10	ains part si tost com il l’ot commandee a Dieu a et chevalche en tel maniere jusqu’a tierce tant qu’il vint a l’issue de la forest; 	si tost comme il lot comandee a dieu. |et cheuauche en tel maniere. 	15|16
		tant quil uient a lissue de la forest 	17
11	et il torne a destre vers un chemin viés et ancien; 	et il torne a destre uers le chemin uiee et acien 	18
12	si ne demora gueres 	Si ne demora gaires	19
13	qu’il vint a une eve P lee et parfonde, 	quil uient a une eue lee et parfonde. 	20
14	mais il n’i trueve pont ne gué ne passage nul. 	mais il ni trueue ne pont ne gue ne passaige nul. 	21
15	Et il regarde d’autre part de l’eve, 	et lors regarde il dautre part de leue. 	22
16	si voit I. petit chastel molt bien seant, clos de mur bateillié tot entor a la roonde. ll regarde grant piece le chastel 	Si uoit .i. petit chastelet mout bien feant |qui estoit clos de murs batilliez de toutes pars enuiron a la roonde Il esgarde Longuement le chastel 	23|24
17	dont la façons li plest molt a regarder, 	dont Ia fasons li plait mout a esgarder. 	25
18	puis s’en torne contreval la riviere	et puis sen torne tot contreual la riuere. 	26
19	por savoir s’il i peust trover ne pont ne gué, 	Por sauoir se il i troueroit ne pont ne gue. 	27
20	mais il n’en trueve point 	mais il nen i trurue point : 	28
21	et quant il voit 	si ne sot 	29
22|23	qu’il n’i passera, |si ne set que fere, 	que faire 	30
24|25	que retorner ne voldroit il mie. |Atant voit issir del chastel une damoisele 	car retorner ne wet il mie atant uoit issir une damoisele dou chastel 	31
26	qui ert tote nue en sa chemise,	qui estoit tote nue en sa chemisse 	32
27	si le menoient troi vilain molt vilainement a 	si la menoient. iiii.tre ribaus mout uilment. 	33
28	et tenoit chescuns une hache en sa main; 	et tenoit chascuns une hache en sa main. 	34
29	et ele crioit 	et ele crioit 	35
30	quanque ele pooit crier por els 	quantque le pooit crier. por ciax 	36
31	qui li faisoient tel honte et tel laidure 	qui li fasoient tele honte. et tel laidure 	37
32	qu’il la venoient batant tot contreval la riviere. 	que il la menoient batant tout contrtual la riuiere t 	38
33	Et quant la damoisele vit le chevalier de l’autre part de ! l’eve, 	quant la damoisele uoit le cheualier dautre part la riuiere. 	39
34|35	si commence a crier: « |Ha, gentilz chevaliers, secorés ceste damoisele 	si li comance a crier. ha: gentis cheualiers secores ceste damoisele 	40
36|37	que cist ribaut vuelent ocirre. |Ha, frans hom, ne m’i laissiés morir, 	que ciz ribaut wellet ocire. ha; frans hons ne mi laissiez morir 	41
38	se vos onques eustes pitié de nule gentil damoisele !» 	se uos eutes onques pitie de franche damosele. 	42
39	Quant Boors ot ce qu’ele li prie si pitousement 	quant boh̾. oit cele |que si piteusement lapele et li prie 	43|44
40|41	qu'il la secore, |si ne set que fere, 	quil la sekeure. Sire set que faire. 	45
42	kar volentiers li aidast 	car uolentiers li alait aidier 	46
43	s’il peust; 	se il poist. 	47
44|45	mais il voit l’eve noire et parfonde |et si perilluse 	Mais il uoit leue si parfonde et si perilleuse 	48
46	qu’il cuide bien noier, 	que il cuide bien perir 	49
47	s’il se met dedens; 	se il se met dedans. 	50
48	et d'autre part il voit cele 	et dautre part il uoit cele 	51
49	qui si durement crie merci; 	qui si docemet li prie nc .ci.	52
50	si l'em prent tels pitiés 	Si len prent tes pitiez 	53
51	qu’il en laisse totes poors 	quil en laisse totes paours. 	54
52	et fet le signe de la crois en mi son vis, 	Si fait le signe de la crois enmi son uis. 	55
53|54	puis enbrace l’escu |et broche le cheval des esperons 	puis enbrace lescu. et broche le cheual des esperons 	56
55	et se fiert en l’eve. 	et se fiert en leue tot errantment.	57
56|57	Et li chevals fu fors,|si commence a noer 	Et li cheuaus fu fors si comance a noer 	58
58	si tost com il ot terre perdue, 	si tost com il ot terre perdue 	59
59	si l’enporte d’autre part de la rive a quelque paine, 	si lenporte dautͤ part la riue a quelque painne. 	60
60	mais ançois ot beu de l’eve li uns et li autre, 		
61	et se li chevals ne fust si buens, noié fuissent ambedui, 		
62	kar li chevaliers estoit pesans por les armes 		
63	qu’il avoit vestues. 		
64	Quant il fu de l’autre part de l’eve, 		
65|66	si ne descendi pas, |ains cort vers cels 	Si ne descendi pas ains cort uers ciax 	61
67	qui la damoisele tenoient 	qui la damoisele renoient 	62
68	et fiert si le premier 		
69	qu’il aconsieut 	que il consieut 	63
70	qu’il li met le glaive par mi le cors, 	quil li met le glaiue parmi le cors	64
71	si l’abat a terre, 	si labat mort aterre. 	65
72	et li autre s’enfuient erraument 	et li autre sen fuient porre 	66
73	por ce que desarmé estoient. 	qu il estoient desarme. 	67
74	Et la damoisele	et la damaisele 	68
75	qui delivree se voit se met a genols devant Boort 		
76|77	et dist: « |Ha, gentils chevaliers, de Dieu soiés vos beneois, 	qui deliuree ce uoit se met a genous deuant boh̾ ha gentis cheualiers fait ele beneois soiez uos de dieu. 	69
78	quant vos m’avés de mort rescosse, 	quant uos mauez de mort rescoce. 	70
79	et aorés en soit Diex, 	et aoures soit diex 	71
80	quant il ceste part vos amena, 	quant ils amena ceste part. 	72
81|82	kar cist gloton m’euissent ja morte. — Damoisele, fet il,|por quoi ? — Sire fet ele, jel vos dirai bien, 	Car cil gloton meussent ia morte ce uos ne fussiez. Damoisele fait il porcoi. Sire fait ele ie le uos dirai bien. 	73
83	mais	mais que uos maiez misse a Sauuete. 	74
84	que vos m’aiés mise a sauveté. — Coment ? fet il. Avés vos dont garde ? — 	Coument fait il auez uos dont garde. 	75
85	Certes, fet ele, ja asseur ne seraî fant com je sache laiens le seignor del chastel, 	Certes sire faic ele ia a seur ne sera |tant com ie saiche laiens le signeur de cest chastel. 	76|77
86	kar c’est li plus fel chevaliers del monde et li plus traîtres. » A ces paroles voient issir I. chevalier del chastel 	Car cest li plus fel cheualiers dou monde et li plus traites. a ces paroles uoit issir un cheualier del chastel. 	78
87	et la ou il vit Boort, 	et la ou il uoit behort 	79
88	si li escrie : « Laissiés, dans chevaliers, la damoisele	si li est terre. Laissiez dans cheualiers la damoisele 	80
89	que vos n’enmenrois mie! 	que uos nen meneroie 	81
90	Par mon chief, mar le rescosistes!» 	et par mon chief mar la rescousites. 	82
91	Si li cort 	Si li acort 	83
92	quanqu’il puet le glaive alongié; 	quanquil puet le glaiue alongnre. 	84
93	et Boors retrait son glaîve a lui del cors a celui 	et behors retrait son glaiue del cors au ribaut 	85
94	qu’il avoit ocis; 	que il auoit ocis. 	86
95	si laisse le cheval corre 	Si li laisse le cheual.	87
96	et le fiert si tres durement 	et le fiert si durement 	88
97	qu’il l’abat a terre si estordi 	quil labat a terre si estordi 	89
98	qu’il n’a pooir de relever, 	que cil na pooir de releuer. 	90
99	ains gist pasmés, 	Ains fu pasmes. 	91
100	kar il chai si felenessement 	Car il fu cheus si uilainnement 	92
101	qu’a poi que la canole del col n'avoit brisee. 	qua pou quil not la chenole dou col bͥsie. 	93
102	Et Boors li vet a cheval par desus le cors 	et behors li ua a cheual par desus le cors. 	94
103	tant que tot le debrise. 	tant que tout le debrisse. 	95
104	Et lors est la damoisele si liee 	et lors est la damoisele si lie 	96
105	qu’ele ne puet plus 	que ele ne puet plus. 	97
106	et dist a Boort : « Sire, nos n’avons mes garde,	et dit a beh̾. Sire fait ele nous nauons mais garde ce cuige. 	98
107	kar je ne cuit 	Car ie ne cuit 	99
108	qu’il eust plus de chevaliers çaiens que cestui;	quil ait mais cheualier laiens plus que cestui. 	100
109	si vos dirai ore seurement ce 	Si uus dirai ore seurement ce 	101
110	que vos me demandastes n’a encor gaires. — Dites, fet il. — Sire, fet ele, entre moi et I. chevalier 	que uos me demandates na gaires. |Dites dont damoisele fait il. 	102|103
		SIre fait ele par foi entre moi et .i. cheualier 	104
111	qui mes amis estoit chevalchions hui matin par mi cest chastel 	qui mes amis estoit. cheuauchiens hui matin parmi cest chastelet illuec. 	105
112	et quant li freres a celui 	et quant li freres a celui 	106
113	que vos avés abatu me vit, 	que uos aues ore abatu: me uit. 	107
114	si me volt a force prendre, 	Si me uot a force prandre.	108
115	kar il m’avoit molt longuement amee; 	Car il mauoit mout longuement amee. 	109
116	si me prist al frain 	Si me prist |et me uost mener a force 	110|111
		si tost comme il me tint au fraing. 	112
117	et m’en volt mener a force, mes mes amis se combati a lui tant qu’il l’ocist. 	Mais mes amis se combati a lui |tant que il locit. 	113|114
118	Et quant cist 	et quant ciz 	115
119	que vos veez ci ore vit son frere mort, si fist mon ami prendre a force de vilains et de gens et l’ocist en venjance de son frere. 	que uos ueez ore ci uit son frere mort : |si fist mon ami prandre a force de uilains et de gent. 	116|117
		Et locit en la uangence de son frere. 	118
120|121	Mais de moi, |por cui Ses freres avoit esté ocis, dist il 	mais de moi p̾ cui ses freres auoit este ocis dist il 	119
122	qu’il se vengeroit sans main metre;	quil sen uangeroit sans main mestre. 	120
123	si me fist prendre a ces ribaus 	Si me fist prandre a ses .iiii. uilains 	121
124	que vos veistes et lor commanda 	que uos ueistes|si lor coumanda 	122|123
125	qu’il me noiaissent, « 	quil me noiassent. 	124
126	kar par armes, dist il, ne vueil je mie qu’ele muire » ; 	Car par hommes ne uoeil ge gaie fait il |quele morit. 	125|126
127	si m'enmenoient, 	Si [cum] amenerent ainsi 	127
128	si com vos veistes, morir 	com uos ueistes [raqrir] 	128
129	quant vos me venistes secorre par la volenté de Dieu et par la vostre. 	quant uos me [uenistes] secorre par la uolente de dieu et la uostre. Sire fait la damoisele a beħ. 	129
130	Or vos ai conté mon errement ; 	Or uous ai conte mon errement. 	130
131|132	si voldroie des Ore mes, |se vostre plaisirs estoit, 	Si uorroie desormais se uostres [puisses] estoit : 	131
133	que vos me menissois a salveté en un mien chastel 	que uos me menissiez a sauuete en .i. mien chastel 	132
134	qui est ci pres. — Volentiers », fet il. 	qui est ci pres. uolentiers damoisele Sire a 	133
135	Si le prent par les bras 	si la prent par le bras 	134
136	et le monte par devant lui sor le col de son cheval, 	et la mest deuant lui sur le col de son cheual. 	135
137	si a geté son escu derieres son dos, 	Si ageste erranmet son escu derier son dos. 	136
138	si s’en vet cele part 	Si sen ua cele part 	137
139	ou la damoisele li enseigne tant 	ou la damoisele li ensangne. 	138
140	que ce vint aprés midi 	Si cheuaucherent ainsi tant que ce uint apres midi.|et lors uirent deuant aux en lor chemin .i. 	139|140
141	qu’il voient en un tertre I. bel a chastel, 	tertre.Ou il auoit .i. tres bel chastel. 	141
142	et lors ataignent Il. escuiers	et lors ataignent .ii. escuiers 	142
143	qui issoient d’un bossel 	qui issoient dun boschet. 	143
144	et aportoit chescuns venoisons trosee detriers soi.	et aportoit chascuns uenison trossee douant soi. 	144
145	Quant il virent la damoisele, 	et quant il uirent la damoisele 	145
		qui beh̾ auoit deuant luy 	146
146	si descendent a pié 	si sont dessendu a pie	147
147	et li font grant joie com a celi 	et li font la plus grant ioie dou monde a cele 	148
148	qui lor dame estoit 	qui leur lige dame estoit 	149
149	mais molt se merveillent de ce 	Mais mout se merueillent 	150
150	qu’il la virent plorer: 	quant il la uirent si plorer. et plus de son ami 	151
151	si li enquierent 	que il ne uerent pas mandent 	152
152	que ele a. 	que ele a. 	153
153	Et ele lor dit 	et ele lor dit 	154
154	comment ses amis avoit esté ocis, «	et conte coment ueuir auecques li. |Si li en quierent et de ses amis auoit este ocis. au chastel 	155|156
155	et je meismes euisse esté morte. 	ou il trespasoient. Sire meismes fait ele eusse este morte : 	157
156	se ne fust cis frans chevaliers	Ce ne fust ciz frans cheualiers ci. 	158
157	qui par sa debonaireté me resqueust 	qui par sa debonairete 	159
158	et se mist em peril de mort por ma vie sauver. » 	et par sa franchisse marescosse des mains a mes anemis et se mist en peril de mort por moi sauuer. |et se ne lauoie ie pas deserui. 	160|161
		et diex doint 	162
		que ie li puisse guerredoner.	163
159	Et lors conseille a l’un de ses escuierset cil se destrosse maintenant de sa venoison, 	Lors conseille maintenant la damoisele a .i. des escuiers. |et il destrore maintenant sa uenisson 	164|165
160	si la baille a son compaignon por porter, 	et la baille a lautre por portee 	166
161	si s’en vet vers le chastel 	Si sen ua uers le chastel 	167
162|163	quanqu’il puet traire del roncin. |Et Boors demande a la damoisele 	quanque il puet de roncin traire et behors demande a la damoisele 	168
164|165	comment li chastials a non |ou ses amis a esté ocis. « Sire, fet ele, il a non Galedon 	comment li chastiax auoit non ou ses amis. auoit este ocis. Sire fait ele il a non Galedon. 	169
166|167	et l’eve par ou vos passastes a non Galede. » |Ensi parolent tant 	et leue par ou uos pasates a non banllete. 	170
168|169	qu’il sont venu jusqu’al chastel,|si le voit Boors bien seant et fort. 	Ainsi parole tant que il sont uenu ducau chastel. Sire uoit beh̾ mout bel et mout bien sains. 	171
170	Et quant il montent ! le tertre, 	et quant il ont monte le tertre 	172
171	si voient de laiens issir dames et damoiseles a grant plenté 	si uoient issir de laiens dames et damoiseles grant plante 	173
