A	B
0	0|1
1	2
2	3
3	4
4|5	5
6	6|7
7	8
8	9
9|10	10
11	11
12	12
13	13
14	14
15	15
16	16
17	17|18
18	
19	19
20	20
21|22	21
23	22
24	23|24
25	25
26	26
27	27
28	28|29
29	30|31
30	32|33
31	34
32	35
33	36
34	37
35	38
36	39
37	40
38	41
39	42
40|41	43
42|43	44
44	45
45	46|47
46	48
47|48	49
49	50
50	51
51	52
52	53
53	54
54	55
55	56
56	57
57	58
58	59
59|60	60
61	
62	61|62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
70|71	70
72	71
73	72
74	73
75	74
76	75
77	76
78|79	77
80|81	78
82	79|80
83	81
84	82
85	83
86	84
87	85
88	86
89	87
90	88
91	89
92	90
93	91
94	92
95	93
96	94
97	95
98	96
99	97
100	98
101|102	99
103	100
104	101
105	102|103
106	104
107|108	105
109	106
110	107
111	108
112	109
113	110
114	111|112
115	113
116	114
117	115
118	116
119	117
120	118
121	119
122	120|121
123	122
124	123
125	124
126	125
127	126
128	127
129	128
130	129
131	130
132	
133	
134	
135	
136|137	131
138|139	132
140	133
141	134
142	135
143	136
144	137
145	138|139
146	140
147	141
148	142
149	143
150|151	144
152	145
153	146
154	147
155|156	148
157	149
158	150
159	151
160	152
161	153
162	154
163	155
164	156
165	157
166|167	158
168|169	159
170	160|161
171	162
172	163
173	164
174	165
175|176	166
177	167
178	168
179	169
180	170
181	171
182	172
183	173
184	174
185	175
186	176|177
187	178
188	179
189	180
190	181
191	182
192	183
193	184
194	185|186
195	187
196	188|189
197|198	190
199	
200	191
201	192
202	193
203	194
204	195
205|206	196
207	
208|209	197
210	198
211	199
212	200
213	201
214	202
215	203
216	204
217	205
218	206
219	207
220	208
221	209
222	210
223|224	211
225	212
226	213|214
227	215
228	216
229	217
230	218
231	219
232	220
233	221
234	222
235	223
236	224
237	225
238	226
239	227|228
240	229|230
241	231
242	232
243	233
244	234
245	235
246	236
247	237
248	238
249	239
250|251	240
252	241
253	242
254	243
255	244
256|257	245
258	246
259	247
260|261	248
262	249
263	250
264	251|252
265	253|254
266	255
267	256
268	257
269	258
270	259
271	260
272	261
273	262
274	263
275	264
276	265
277|278	266
279|280	267
281	
282|283	268
284	269
285	270|271
286	272
287	273
288	274
289	275
290|291	276
292	277|278
293	279
294	280
295	281
296	282
297	283
298	284
299	285
300	286
301	287
302	288
303	289
304	290|291
305	292
306	293
307|308	294
309	295
310	296
311	297
312	298
313	299
314	300
315	301
316	302
317	303|304
318	305|306
319	307
320	308|309
321	310
322	311
323	312
324	313
325	314
326	315
327	316
328	317|318
329	319
330	320
331	321
332	322
333	323
334|335	324
336	325
337	326
338	327
339	328
340	329
341	330
342	331
343	332
344	333
345	334
346	335|336
347	337
348|349	338
350	339|340
351	341
352	342
353	343
354	344
355	345
356	346
357	347
358	348
359	349
360	350
361	351
362	352|353
363	354|355
364	356
365	357
366	358
367	359
368	360
369	361
370	362
371	363
372|373	364
374	365
375	366
376	367|368
	369
377|378	370
379|380	371
381	372
382	373
383	374|375
	376
384	377|378
385	379
386	380
387	381
388|389	382
390	
391	
392|393	383
394	384
395	385
396	386
397|398	387
399	
400	388
401	389
402	390
403|404	391
405	392
406	393
407	394
408	395
409	396
410	397|398
411	399
412	400
413	401
414	402
415	403
416	404
417	405
418	406
419	407
420	408
421	409|410
422	411
423	412
424	413
425	414
426	415
427	416
428	417
429	418
430	419
431	420|421
432	422
433	423
434	424
435	425
436|437	426
438	427
439	428
440	429
441	430|431
442	432
443	433
444	434
445|446	435
