A	B
0	0
1|2	1
3|4	2
5	3
6|7	4
8|9	5
10|11	6
12|13	7
14|15	8
16	
17	
18	
19|20	9
21|22	10
23|24	11
25|26	12
27	13
28|29	14
30|31	15
32	16
33	17
34	18
35	19|20
36	21
37	22
38	23
39	24
40	25
41|42	26
43|44	27
45|46	28
47|48	29
49	30
50|51	31
52|53	32
54|55	33
56|57	34
58|59	35
60	36|37
61	38
62|63	39
64|65	40
66|67	41
68|69	42
70|71	43
72|73	44
74	45
75	46
76|77	47
78|79	48
80	
81|82	49
83	50
84	51|52
85	53|54
86|87	55
88|89	56
90|91	57
92	58
93|94	59
95|96	60
97|98	61
99	62|63
100	64
101|102	65
103	
104|105	66
106|107	67
108|109	68
110	69
111|112	70
113|114	71
115	72
116	73
117|118	74
119|120	75
121|122	76
123	77
124|125	78
126	79
127|128	80
129|130	81
131|132	82
133|134	83
135|136	84
137|138	85
139|140	86
141	87
142|143	88
144	89
145|146	90
147|148	91
149|150	92
151	93
152|153	94
154|155	95
156|157	96
158	97
159|160	98
161|162	99
163|164	100
165	101
166|167	102
168	103|104
169	105
170	106|107
171|172	108
173	109
174	110|111
175	112
176	113|114
177	115
178|179	116
180|181	117
182|183	118
184	119
185|186	120
187|188	121
189|190	122
191	123
192	124
193|194	125
195	126
196	127
197|198	128
199	129
200	130|131
201	132
202	133
203|204	134
205	135|136
206|207	137
208|209	138
210	139
211	140
212	141
213	142
214	143
215	144
216	145
217|218	146
	147
219|220	148
221	149
222|223	150
224	151|152
225|226	153
227|228	154
229	155
230|231	156
232	157
233	158
234|235	159
236	160
237|238	161
239	162
240	163
241	164
242|243	165
244	
245|246	166
247|248	167
249	168
250|251	169
252|253	170
254|255	171
256|257	172
258	
259	
260|261	173
262|263	174
264|265	175
266|267	176
268|269	177
270	
271|272	178
273|274	179
275|276	180
277	
278	
279|280	181
281|282	182
283|284	183
285|286	184
287|288	185
289	
290	
291|292	186
293|294	187
295	188
296	189
297|298	190
299|300	191
301	
302|303	192
304	193
305	194
306	195|196
307|308	197
309	198
310	199
311|312	200
313	201
314	202
315	203|204
316	205
317	206|207
318|319	208
320|321	209
322	
323|324	210
325|326	211
327|328	212
329	213|214
330|331	215
332	216
333	217
334|335	218
336|337	219
338	
339|340	220
341|342	221
343	222
344	223
345|346	224
347|348	225
349|350	226
351	
352	
353|354	227
355|356	228
357|358	229
359|360	230
361|362	231
363	
364|365	232
366	
367	
368|369	233
370|371	234
372|373	235
374	
375	
376|377	236
378|379	237
380|381	238
382	
383	
384|385	239
386	
387|388	240
389|390	241
391	242
392|393	243
394|395	244
396|397	245
398	
399	
400|401	246
402	
403	
404|405	247
406	
407	
408	
409	
410	
411	248
412|413	249
414|415	250
416|417	251
418|419	252
420	253
421|422	254
423|424	255
425|426	256
427|428	257
429|430	258
431	
432	259
433	260
434	261
435|436	262
437|438	263
439|440	264
441	
442|443	265
444|445	266
446	267
447|448	268
449|450	269
451|452	270
453|454	271
455|456	272
457	273
458	274
459|460	275
461|462	276
463	277
464|465	278
466|467	279
468|469	280
470	
471|472	281
473|474	282
475|476	283
477	284
478	285
479|480	286
481|482	287
483|484	288
485|486	289
487|488	290
489|490	291
491|492	292
493|494	293
495|496	294
497	295|296
498|499	297
500	298
501|502	299
503|504	300
505	301
506|507	302
508|509	303
510	304|305
511|512	306
513	307
514|515	308
516	309
517	310
518	311
519|520	312
521	313|314
522|523	315
524	316
525	317
526|527	318
528|529	319
530	
531	320
532	321|322
533|534	323
535	
536	324
537|538	325
539|540	326
541|542	327
543|544	328
545	329
546	330
547	331
548	332
549|550	333
551|552	334
553	335
554	336
555|556	337
557|558	338
559	339
560|561	340
562|563	341
564|565	342
566	343|344
567	345|346
568|569	347
570	348
571|572	349
573	350
574	351
575	352
576|577	353
578	354
579	355|356
580	357
581|582	358
583|584	359
585|586	360
587|588	361
589|590	362
591|592	363
593|594	364
595|596	365
597	
598|599	366
600|601	367
602|603	368
604|605	369
606|607	370
608|609	371
610|611	372
612	
613|614	373
615|616	374
617|618	375
619|620	376
621|622	377
623	378
624|625	379
626|627	380
628|629	381
630|631	382
632|633	383
634	
635|636	384
637|638	385
639	
640|641	386
642	
643|644	387
645|646	388
647	
648|649	389
650	390
651|652	391
653	
654	392
655|656	393
657|658	394
659|660	395
661|662	396
663|664	397
665|666	398
667|668	399
669|670	400
671|672	401
673|674	402
675	403
676	404
677|678	405
679|680	406
681|682	407
683	408
684|685	409
686|687	410
688|689	411
690|691	412
692|693	413
694|695	414
696|697	415
698	416
699	417
700|701	418
702|703	419
704|705	420
706|707	421
708	422
709|710	423
711	
712	424
713	
714|715	425
716|717	426
718|719	427
720|721	428
722|723	429
724|725	430
726|727	431
728	432
729|730	433
731|732	434
733	435
734	436
735|736	437
737	438
738|739	439
740|741	440
742	441
743|744	442
745	
746|747	443
748	
749	
750|751	444
752	
753|754	445
755	
756|757	446
758|759	447
760	
761	
762|763	448
764|765	449
766|767	450
768	
769|770	451
771	
772	
773|774	452
775	
776	
777	
778	
779	
780|781	453
782	
783	
784	
785|786	454
787|788	455
789	
790	
791	
792	
793	
794|795	456
796	
797|798	457
799	
800	
801	
802|803	458
804	
805	
806|807	459
808	
809	
810|811	460
812	
813	
814|815	461
816|817	462
818	
819	
820	
821	
822	
823|824	463
825	
826|827	464
828|829	465
830|831	466
832|833	467
834	
835|836	468
837|838	469
839|840	470
841|842	471
843|844	472
845	
846|847	473
848	
849|850	474
851|852	475
853	
854|855	476
856|857	477
858|859	478
860|861	479
862|863	480
864|865	481
866|867	482
868|869	483
870	
871|872	484
873|874	485
875|876	486
877|878	487
879	488
880	
881|882	489
883	
884	
885	
886	
