A	B
0|1	0
2|3	1
4|5	2
6|7	3
8	4
9	5
10|11	6
12	7
13	8|9
14	10
15	11|12
16	13
17	14
18	15|16
19	17
20	18|19
21	20
22	21
23	22
24|25	23
26|27	24
28	25
29|30	26
31	27
32	28
33	29
34|35	30
36	31
37	32
38|39	33
40	34
41|42	35
43|44	36
45	
46|47	37
48|49	38
50|51	39
52|53	40
54	41
55	42
56	43
57	44
58	45
59|60	46
61|62	47
63	48
64	49
65	50
66	51
67	52
68	53
69|70	54
71	
72	
73	55
74	56
75	57
76	58
77|78	59
79	60
80|81	61
82|83	62
84	63
85	64
86	65
87	66
88	67|68
89|90	69
91	70
92	71
93	72
94	73
95	74
96	75
97	76|77
98|99	78
100	79
101	80
102	81
103|104	82
105|106	83
107|108	84
109	85
110	86
111	87|88
112|113	89
114	90|91
115	92|93
116	94|95
117	96
118|119	97
120	98
121	99
122	100
123|124	101
125|126	102
127	103
128|129	104
130|131	105
132	106
133	107
134	108
135|136	109
137|138	110
139	111|112
140	113
141	114
142	115
143	116
144	117|118
145	119
146	120
147|148	121
149	122
150|151	123
152	124
153|154	125
155	126|127
156|157	128
158	129
159	130
160	131
161	132
162	133
163	134
164	135
165	136|137
166	138|139
167	140|141
168	142
169	143
170	144
171|172	145
173	146
174|175	147
176|177	148
178	149
179|180	150
181|182	151
183	152
184|185	153
186|187	154
188|189	155
190	156|157
191	158
192	159
193|194	160
195	161
196	162
197	163|164
198|199	165
200	166
201	167
202|203	168
204	169
205	170
206|207	171
208|209	172
210|211	173
212|213	174
214	
215|216	175
217|218	176
219	177
220|221	178
222	
223|224	179
225	
226|227	180
228	181|182
229	183
230	184
231	185
232|233	186
234	187
235	188|189
236	190
237	191
238|239	192
240	193
241|242	194
243|244	195
245	196
246	
247|248	197
249	198|199
250	200
251	201
252|253	202
254	203
255|256	204
257|258	205
259	206
260	207
261|262	208
263|264	209
265	210
266	211
267	212
268	213
269	214|215
270	216
271|272	217
273	218|219
274	220
275|276	221
277	222
278	223
279	224
280	225
281	226
282	227
283	228
284	229
285	230
286	231
287|288	232
289	233
290|291	234
292|293	235
294	236
295	237|238
296|297	239
298	240|241
299	242
300|301	243
302	244
303|304	245
305|306	246
307	247
308|309	248
310	249
311|312	250
313	251
314	252
315|316	253
317	254
318|319	255
320	256
321	257
322	258
323	259
324	260
325|326	261
327	262
328|329	263
330	264
331|332	265
333	
334|335	266
336	
337|338	267
339	
340	
341	
342	
343	
344|345	268
346|347	269
348	270
349	271
350|351	272
352|353	273
354	274
355	275
356	276
357	277
358	278|279
359|360	280
361	281|282
362	283
363	284|285
364	286|287
365	288
366|367	289
368	290|291
369	292
370	293
371	294
372	295|296
373	297|298
374	299|300
375	301
376	302|303
	304
	305
	306
377	307|308
378	309
379	310
380	311
381	312|313
382	314
383|384	315
385	316
386	317
387	318|319
388	320
389	321
390|391	322
392	
393|394	323
395	324
396	325
397|398	326
399|400	327
401|402	328
403|404	329
405|406	330
407|408	331
409	332
410	333
411	334
412|413	335
414	336
415|416	337
417	338
418	339
419	340
420	341
421	342
422	343|344
423	345
424|425	346
426	347
427	348|349
428	350
429	351|352
430|431	353
432	354
433	355
434|435	356
436	357
437	358
438|439	359
440|441	360
442	361|362
443|444	363
445	364|365
446	366|367
447	368
448	369|370
449|450	371
451|452	372
453	373
454|455	374
456	375
457	376
458	377
459	378
460	379|380
461	381|382
462|463	383
464|465	384
466	385
467	386|387
468	388|389
469	390
470|471	391
472	392|393
473	394
474	395
475	396|397
476	398
477	399
478	400
479|480	401
481	402
482|483	403
484	404
485	405
486|487	406
488	407
489	408
