0	Et Lanceloz ot toute jor chevauchié las et travilliez de ce 	Et lancelot ot toute iour cheualchie las et traueillies de ce 	0
1|2	qu’il|ot le jor fait 	quil ot le ior fet. 	1
3|4	et ses chevaux se doloit si durement |que del poindre 	Et sez cheuals fu si lasses 	2
5	qu’il ot le jor fait 		
6	que des petites plaies 		
7	qu’il avoit 		
8	a 		
9|10	que a painnes pooit il aler |que le pas. 	que a paines pooit il aler plus que le pas. 	3
11	Lors resgarde arriere lui 	Lors regarde derriere lui.	4
12	et voit venir. J. chevalier armé et une molt bele dame avec lui. Il le saluent, 	et voit uenir vn cheualier arme. |et cheualchoit aueques lui vne bele dame. 	5|6
13	quant il viennent pres, 	Et quant il vindrent pres de lui 	7
		si le saluent. 	8
14	et il a molt grant paor de quenoissance; 	Et il ot grant paour de connissance. 	9
15	si respont basset 	Si respont 	10
16	que Diex les beneie. « 	que boine auenture lor doinst diex. 	11
17	Biaux sire, fait la dame, 	Biau sire fet la dame 	12
18|19	qui estes vos ? — J. chevaliers sui, |ce poez veoir. — 	qui estes vous. Dame fet il vns cheualiers sui ce poes ueoir. 	13
20	Si m’aïst Diex, fait ele, chevaliers estes vos tel a mon esciant 	Si mait diex fait elle cheualiers estes vous au mien escient. 	14
21	qu’il n’a vostre pareil ou monde: 	tel |quil na vostre pareil el monde. 	15|16
22	si le sai par or̈r dire et par veoir et je vos pri par la riens 	Si le sai par oir dire. et par ueoir |Si vous proi par la riens el monde 	17|18
23	que vos plus amez el monde	que vous plus ames 	19
24	que vos hui veingniez herbergier o moi en un mien chastel 	que vous hui |mais uenes herbergier auec moi a vn mien castel 	20|21
25|26	qui ci pres est, |par couvant 	qui ci pres est. par couent 	22
27	que je vos mousterrai demain la plus bele riens 	que iou vous mousterrai demain la plus bele riens 	23
28	que vos onques veissiez. » 	que vous onques ueissiez 	24
29	Et il dist 	Et il dist 	25
30	qu’il i ira volentiers par cest couvant. « 	quil yra uolentiers par tel conuent. |Ore vous en uenes 	26|27
31	Or en venez donc, fait ele. — Alez, fait il, 	dont fait elle. |Ales deuant fait il 	28|29
32	et je vos suirrai. » La dame s’an vait avant 	et ie vous sieurrai. |Lors sen uait la dame deuant et li cheualiers apres 	30|31
33	et cil aprés 		
34|35	qui greingnor mestier eust de repos |que de chevauchier; 	qui greignor mestier eust de repos que de cheualchier.	32
36	si ont tant alé 	Si ont tant ale 	33
37	qu’il vindrent en J. valee et voient el fonz del val I. chastel bien fait et bien seant	quil vindrent a vne ualee. |Si voient el fons du ual vn castel fort et bien seant 	34|35
38	dont li mur estoient fort et grant et menuement crenelé. 	et dont li mur estoient haut et fort |et menuement kernele 	36|37
39	Quant il vindrent au chastel, 	Et quant il vindrent au castel 	38
40|41	si estoit ja grant nuit |et la dame apele celui 	si estoit ia grant su os el nuit. et la dame apele celui 	39
42	qui la porte gardoit 	qui la porte gardoit 	40
43	et li dit 	et li dist 	41
44	qu’il ouevre la porte	quil oeureche la porte. 	42
45	et cil si fait. 	Et cil si fait erranment 	43
46|47	Et il antrent anz |et chevauchent dusqu’au mestre palais ; 	Et il entrent ens et cheualchent iusques au maistre palais 	44
48	et quant cil de laienz voient 	Et quant cil de laiens voient 	45
49	que lor dame vient,	que lor io dame vient 	46
50	si li saillent a l’encontre o cierges et o tortiz, 	si saillent a lencontre as cierges et as tortis. 	47
51	car autrement n’i veissent pas por la nuit 	quar autrement ne la ueissent il pas la nuit 	48
52	qui trop ert oscure. 	qui trop est obseure. 	49
53	Si descendent la dame 	Si descent la dame 	50
54	et ele dist 	et lor dist. 	51
55	qu’il ne s’entremetent de lui, « 	quil al ne sentremetent ia de li. 	52
56	mais je vos pri, fait ele, 	mais iou vous pri 	53
57	d’onorer cel chevalier 	fet elle donorer chest cheualier 	54
58	et de servir, 	et de lui seruir. 	55
59	car je vos di, fait ele, 	Car ie vous di 	56
60	qu’il est li plus prodons del monde et le millor chevalier». 	quil est li plus preudoms del monde et li mieldres cheualiers. 	57
61	Et le descendent maintenant 	Et cil le descendent maintenant 	58
62	et li ostent l’escu del col, 	si li Ostent lescu de son col 	59
63	puis le moinnent amont 	et puis le mainent amont 	60
64	et le desarment. 	et le desarment. 	61
65	Et la dame le resgarde 	et la dame vit 	62
66	et voit le vis gros et anflé 	quil ot le vis gros et enfle 	63
67	et le nes escorchié et sanglant des cox 	et le nes escorcie |et sanglent dez colps 	64|65
68	qu’il ot donnez et receuz ; 	quil ot donne et receus 	66
69	si li fait aporter eve chaude a laver son col et son vis	Si li fait aporter eue chaude a lauer son col et son vis 	67
70	qui touz estoit nerciz des mailles del haubert. 	qui tous estoit noircis des mailles del hauberc 	68
71	Et quant ele resgarde l’escu, 	Et quant elle regarde son escu 	69
72	si dist oiant touz ceus de laienz : « 	si dist oiant tous ceuls de laiens. 	70
73|74	Ha, escuz,|tant avez hui esté resgardez et desirrez d’estre tenuz de maîntes beles puceles! 	ha : escus tant aues este hui regardes et desires destre tenus as mains de mainte bele pucele. 	71
75|76	Si m’aïst Diex, |bien se puet celui vanter 	Si mait diex bien se puet vanter cils 	72
77	qui vos porte,	qui vous porte. 	73
78	que onques chevalier tel merveilles ne fit en I. jor 	conques cheualiers ne fist teus merueilles en vn iour 	74
79	com a hui fait cist. 	comme cils a hui fetes. 	75
80	Et beneoiz soit Diex 	Et beneois soit diex 	76
81	qui le me donna acointier,	qui le me fist encontrer. 	77
82	car il ne me poïst mie greingnor honor avenir de ce 	Car il ne me peust mie greignor honor auenir |que de ce 	78|79
83	qu’il est venuz a mon hostel. » 	quil est uenus en mon ostel.	80
84	Lors entre en sa chambre et aporte robe de cendal a vestir a Lancelot; 	Lors entra la dame en sa cambre |et aporta vne robe de cendal a uestir a lancelot 	81|82
85	et quant il est vestuz, 	Et quant il est uenus 	83
86	si le fait seoir 	si le fait seoir. 	84
87	et li dist: « Sire, reposez vos,	Et li dist. Sire reposez vous. 	85
88	car si maist Diex vos le devez bien faire, 	quar si mait diex vous le deues bien faire 	86
89	car asez avez esté travilliez. » 	quar asses aues hui este 	87
