A	B
0	0
1|2	1
3|4	2
5	
6	
7	
8	
9|10	3
11	4
12	5|6
13	7
	8
14	9
15	10
16	11
17	12
18|19	13
20	14
21	15|16
22	17|18
23	19
24	20|21
25|26	22
27	23
28	24
29	25
30	26|27
31	28|29
32	30|31
33	
34|35	32
36	33
37	34|35
38	36|37
39	38
40|41	39
42	40
43	41
44	42
45	43
46|47	44
48	45
49	46
50	47
51	48
52	49
53	50
54	51
55	52
56	53
57	54
58	55
59	56
60	57
61	58
62	59
63	60
64	61
65	62
66	63
67	64|65
68	66
69	67
70	68
71	69
72	70
73|74	71
75|76	72
77	73
78	74
79	75
80	76
81	77
82	78|79
83	80
84	81|82
85	83
86	84
87	85
88	86
89	87
90	88
91	89
92	90
93	91|92
94	93
95	94
96	95|96
97	97
98	98
99	99
100	100
101	101|102
102	103
103	104
104	105
105	106|107
106	108
	109
107	110|111
108|109	112
110	113
111	114
112	115
113	116
114	117
115	118
116	119
117	120
118	121
119	122
120	123
121	124
122	125
123	126
124	127
125	128
126	129
127	130
128	131
129	132
130	133
131	134
132	135|136
133	137
134	138
135	139
136	140
137	141
138	142
139|140	143
141|142	144
143	145
144	146
145	147
146	148
147	149|150
148	151|152
149	153
150	154|155
151	156
152|153	157
154	158
155	159
156	160|161
	162
157|158	163
159	164
160	165
161	166
162	167
163	168
164|165	169
166	170
167	171
168	172
169	173
170	174
171	175
172	176|177
173	178
174	179
175	180
176	181
177	182
178	183
179	184|185
180	186
	187
	188
181	189
182	190
183	191
184	192|193
185	194|195
186	
187	196
188	197
189|190	198
191	199
192	200
193	201
194	202
195	203
196	204
197	205
198	206
199	207|208
200	209
201	210
	211
202	212|213
203	214
204	215
205	216
206	217
	218
207	219|220
208	221|222
209	223|224
210	225
211	226|227
212	228|229
213	230
214	231
215	232
216|217	233
218|219	234
220|221	235
222|223	236
224|225	237
226|227	238
228|229	239
230	240
231|232	241
233	242
234|235	243
236|237	244
238	245
239	246|247
240	248
241	249|250
242	251|252
243	253|254
244	255
245	256|257
	258
	259
246	260|261
	262
	263
247	264
248	265
249	266
250	267
251	268
252	269|270
253	271|272
254	273
255|256	274
257	
258	
259	275
260	276
261	277
262	278
263	279
264	280
265	281
266	282
267	283|284
268	285
269	286|287
270	288
271	289
272|273	290
274	291
275	292
276	293
277	294
278	295
279	296
280	297
281	298
282	299
283	300|301
284	302|303
285	304|305
286	306|307
287	308
288	309
289	310
290	311
291	312
292	313
293	314
294	315
295	316
296	317|318
297	319
298	320|321
299	322
300	323
301|302	324
303|304	325
305	326
306	327
307	328|329
308	330|331
309	332
310	333
311	334
312	335
313	336
314|315	337
316	338
317	339
318	340
319	341
320	342
321	343
322	344|345
323	346
324	347
325	348
326	349
327	350
328	351
329	352
330	353|354
331	355|356
332	357
333|334	358
335	359
336	360
337	361
338|339	362
340	363
341	364|365
342	366
343	367
344	368|369
	370
345	371|372
346	373
347	374
348	375
349	376|377
350	378
351	379|380
352	381
353	382
354	383
355	384
356	385
357	386
358	387|388
359	389
360	390
361	391
362	392
363	393|394
364	395
365	396
366	397
367	398
368	399
369|370	400
371|372	401
373	402
374	403
375	404
376	405|406
377	407|408
378	409
379	410
380	411
381	412
382	413
383	414
384	415|416
385	417
386	418
387	419
388	420
389	421
390	422
391|392	423
393|394	424
395	425
396	426|427
397	428
398	429
399	430
400	431
401	432
402	433
403	434
404	435
	436
	437
	438
405	439|440
406	441|442
407	443
408	444
409	445
410	446
411	447
412	448|449
413	450
414|415	451
416	452|453
417	454
418	455
419	456
420	457
421	458|459
422	460
423	461
424	462
425	463|464
426|427	465
428	466
429	467
430	468
431	469|470
432|433	471
434	472
435	473
436	
437	474
438	475
439	476|477
440	478|479
441	480
442	481
443	482
444	483
445	484
446	485
447	486
448	487
449	488
450	489
451|452	490
453	491|492
454|455	493
456	494
457	495
458	496
459	497
460	498
461	499
462	500
463	501
464	502
465	503|504
466|467	505
468	506
469	507
470	508
471	509
472|473	510
474|475	511
476	
477	512|513
478	514
479	515
480	516
481	517
482|483	518
484	519
485	520
486	521|522
487	523
488	524
489	525
490	526
491	527
492	528
493	529
494	530|531
495	532|533
496	534
497	535
498	536
499	537
500	538
501	539
502	540
503	541
504	542|543
505	544
506	545
507	546
508|509	547
510	548|549
511	550|551
	552
	553
512	554
513	555
514	556
515	557
516	558|559
	560
517	561|562
518	563
519	564
520	565
521	566
522	567
523	568
524|525	569
	570
526	571|572
	573
	574
527	575
528	576|577
	578
529	579
530	580|581
531	582
532	583|584
533	585
534	586
535	587|588
536	589
537	590
538	591
539	592
540	593
541|542	594
543	595
544	596
545	597|598
546	599|600
547	601
548	602
549	603
550	604|605
551	606|607
	608
552	609
553	610
554	611
555|556	612
557	613
558	614
559	615
560	616|617
561	
562	618
563	619
564	620|621
565	622
566	623
567	624
568	625
569	626
570	627
571	628
572	629|630
573	631
574	632
575	633
576|577	634
578	635
579	636
580	637
581	638
582	639
583	640
584	641
585	642
586	643
587	644
588	645
589	646
590	647|648
591	649
592	650
593	651
594	652|653
595	654
596	655
597	656
598	657|658
599	659
600	660
601	661
602	662
603	663|664
604|605	665
606	666
607	667|668
608	669
609	670
610	671|672
611	673
612	674|675
613	676|677
614	678
615	679
616	680|681
617	682
618	683
619	684
620	685
621	686|687
622	688
623	689
624	690
625	691
626	692
627	693|694
628	695|696
629	697
630	698
631	699
632	700
633	701
634	702
635	703
636|637	704
638	705
639	706
640	707
641	708
642	709
643	710
644|645	711
646	712|713
647	714
648	715
649	716
650	717
651	718|719
	720
652	721|722
653	723
654	724
655	725
656	726
657	727
658	728
659	729|730
660	731
661	732
662|663	733
664	734
665	735
666	736
667	737
668	738
669	739
670	740
671	741
672	742
673	743
674	744
675	745
676	746
677	747
678|679	748
680	749|750
681	751
682	752
683	753|754
684	755
685	756
686	757
687	758
688	759
689|690	760
	761
691	762|763
692|693	764
	765
694	766
695	767
696	768
697	769
698	770
699|700	771
701	772|773
702	774
703	775
704	776
705	777
706	778|779
707	780
708	781|782
709	783|784
710|711	785
712	786
713	787
714	788
715	789
716	790
717|718	791
719|720	792
721|722	793
723	794
724	795|796
725	797
726	798
727	799
728	800|801
729	802
730	803
731	804
732	805
733	806
734	807
735	808
736	809
737	810
738	811
739	812|813
740	814
741	815|816
742	817
743	818|819
744|745	820
746	821
747	822
748	823
749	824|825
750	826
751	827
752	828
753	829|830
754	831
755	832
756	833
757	834|835
758	836
759	837
760	838
761	839
762	840
763	841
764	842
765	843
766	844
767	845|846
768	847
769	848|849
770	850|851
771	852
772	853
773|774	854
775|776	855
777|778	856
779	857
780	858
781	859
782	860
783	861
784|785	862
786	863
787	864
788|789	865
790	866
791	867
792|793	868
794	869
795	870|871
796	872
797	873
798	874
799	875
800	876
801	877
802	878|879
803|804	880
805	881|882
806	883
807	884
808	885
809	886
810	887
811	888|889
812	890
813	891
814	892|893
815	894|895
816	896
817	897|898
818|819	899
820	900
821	901
822	902
823	903
824	904
825	905|906
826|827	907
828	908
829	909|910
830	911|912
831	913
832	914
833	915
834	916
	917
835	918|919
836	920|921
837	922|923
838	924
839	925
840	926
841	927
842	928
843	929|930
844	931
845	932
846	933
847	934
848	935
849	936
850	937
851	938|939
852	
853	940
854	941|942
855	943
856	944
857	945
858	946
859	947
860	
861	
862	
863	948
864	949
865	950
866	951
867	952
868	953
869	954|955
870	956|957
871	958
872	959
873	960
874	961
875	962
876	963
877|878	964
879|880	965
881	966|967
882	968
883	969
884	970
885	971
886	972
887	973
888|889	974
890	975|976
891|892	977
893	978
894	979
895	980|981
	982
896	983|984
897	985|986
898	987
899	988
900	989
901	990
902	991
903	992
904	993|994
905	995|996
	997
	998
906	999|1000
907	1001
908	1002
909	1003
910	1004
911	1005
912	1006|1007
913	1008
914	1009
915	1010
916	1011
917	1012
918	1013
919	1014
920	1015
921	1016
922	1017
923	1018
924	1019
925	1020
926	1021
927	1022
928	1023|1024
929	1025
930	1026
931|932	1027
933	1028|1029
934|935	1030
936	1031
937	1032
938|939	1033
940	1034
941	1035
942|943	1036
944	1037|1038
945|946	1039
947	1040
	1041
948	1042
949|950	1043
951	1044
952	1045
953|954	1046
955	1047
956|957	1048
958	1049
959|960	1050
961	1051|1052
962	1053
963	1054|1055
964	1056
965	1057
966	1058
967	1059
968	1060
969	1061
970|971	1062
972|973	1063
974	1064
975	1065
976|977	1066
978	1067|1068
979	1069
980	1070|1071
981	1072
982	1073
983	1074
984	1075
985	1076
986	1077
987	1078|1079
988	1080
989	1081|1082
990|991	1083
992	1084
993	1085
994	1086
995	1087
996|997	1088
998|999	1089
1000|1001	1090
1002|1003	1091
1004	1092
1005	1093
1006	1094
1007	1095
1008	1096
1009	1097
1010	1098
