0	Et Lanceloz ot toute jor chevauchié las et travilliez de ce 	E Lancelotto ebbe cavalcato tutto giorno lasso e travagliato di ciò 	0
1|2	qu’il|ot le jor fait 	ch’elli ebbe il giorno fatto in sul cavallo, 	1
3|4	et ses chevaux se doloit si durement |que del poindre 	si dolea si duramente, che del pugnere 	2
5	qu’il ot le jor fait 	ch’elli avea il giorno fatto, 	3
6	que des petites plaies 	che di piccole piaghe 	4
7|8	qu’il avoit |a 	ch’elli avea, 	5
9	que a painnes pooit il aler 	che a pena poteva elli andare, 	6
10	que le pas. 	se non in passo. 	7
11	Lors resgarde arriere lui 	Allor riguarda di dietro lui 	8
12	et voit venir. J. chevalier armé et une molt bele dame avec lui. Il le saluent, 	e vide venire un cavaliere armato |e una molto bella dama con esso 	9|10
13	quant il viennent pres, 	lui.E elli il salutano |quand’egli il vidono,	11|12
14	et il a molt grant paor de quenoissance; 	e elli à molto gran paura di conoscenza, 	13
15	si respont basset 	si risponde bassetto 	14
16	que Diex les beneie. « 	che Dio li 	15
17	Biaux sire, fait la dame, 	benedica.PBel sire, diss’ella la dama, 	16
18	qui estes vos ? — J. chevaliers sui, 	chi siete voi? 	17
19	ce poez veoir. — 	— Dama, diss’elli, un cavaliere son io, |ciò potete vedere. 	18|19
20	Si m’aïst Diex, fait ele, chevaliers estes vos tel a mon esciant 	—- Se m’aiuti ldio, cavaliere siete voi tale a mio sciente 	20
21	qu’il n’a vostre pareil ou monde: 	che non à vostro pari nel mondo, 	21
22	si le sai par or̈r dire et par veoir et je vos pri par la riens 	si l so per udir dire e per vedere. io vo priego, per la cosa al mondo 	22
23	que vos plus amez el monde	che vo più amate, 	23
24	que vos hui veingniez herbergier o moi en un mien chastel 	che vo' |ma oggi vegniate ad albergar con esso noi in un mio castello 	24|25
25|26	qui ci pres est, |par couvant 	che qulil presso est, per convento 	26
27	que je vos mousterrai demain la plus bele riens 	ch’i' vo mosterò domane la più bella cosa 	27
28	que vos onques veissiez. » 	che vo' vedeste unque mais. 	28
29	Et il dist 	Ed e dice	29
30	qu’il i ira volentiers par cest couvant. « 	che v’andrà volentieri per questo convenente. 	30
31	Or en venez donc, fait ele. — Alez, fait il, 	Or venite dunque, diss'ella. |— Andate, diss’elli, 	31|32
32	et je vos suirrai. » La dame s’an vait avant 	e i' vo seguirò». Il eLa dama se ne Va avanti 	33
33	et cil aprés 	e quelli apresso 	34
34	qui greingnor mestier eust de repos 	che maggior mistieri avesse di riposare 	35
35	que de chevauchier; 	che di cavalcare. 	36
36	si ont tant alé 	Si ànno tanto andato 	37
37	qu’il vindrent en J. valee et voient el fonz del val I. chastel bien fait et bien seant	ch’elli vengono in una valata |e vidono nel fondo della valle un castel ben fatto e ben sedente	38|39
38	dont li mur estoient fort et grant et menuement crenelé. 	donde e muri erano forti e alti e minutamente 	40
39	Quant il vindrent au chastel, 	merlati.Quand’e' venono nel castello, 	41
40	si estoit ja grant nuit 	si era già grande notte, 	42
41	et la dame apele celui 	slla dama apella quello 	43
42|43	qui la porte gardoit |et li dit 	che-lla porta guardava elli disse 	44
44	qu’il ouevre la porte	ch'ell apra la porta, 	45
45	et cil si fait. 	e que si fa.	46
46	Et il antrent anz 	E elli entrano dentro 	47
47	et chevauchent dusqu’au mestre palais ; 	e cavalcano insino al mastro palagio, 	48
48	et quant cil de laienz voient 	e quando quelli di là entro vegono 	49
49	que lor dame vient,	che lor dama viene, 	50
50	si li saillent a l’encontre o cierges et o tortiz, 	si aluminano i torchi, 	51
51	car autrement n’i veissent pas por la nuit 	ch’altrimenti non andassono elli passo per la notte 	52
52	qui trop ert oscure. 	che troppo era	53
53	Si descendent la dame 	scura.e discendono la dama 	54
54	et ele dist 	e ella dice 	55
55	qu’il ne s’entremetent de lui, « 	che non si ntramettano già di lei, 	56
