0	Et Lanceloz ot toute jor chevauchié las et travilliez de ce 	ET lanc̃. ot toute ior cheuauchie. las et trauailliez de ce 	0
1|2	qu’il|ot le jor fait 	quil ot le iour fet. 	1
3	et ses chevaux se doloit si durement 	et son cheual se doloit si durement. 	2
4	que del poindre 	que del poindre 	3
5	qu’il ot le jor fait 	quil ot le iour fet 	4
6	que des petites plaies 	que des petites plaies 	5
7	qu’il avoit 	quil auoit. 	6
8|9	a |que a painnes pooit il aler 	que a poine se pooit il soustenir ne aler 	7
10	que le pas. 	que le pas. 	8
11	Lors resgarde arriere lui 	Lors regarde arriere lui. 	9
12	et voit venir. J. chevalier armé et une molt bele dame avec lui. Il le saluent, 	et uoit uenir .i. cheualier arme. et une molt bele dame. |aueuc lui. il le saluent 	10|11
13	quant il viennent pres, 	quant il uienent pres. 	12
14	et il a molt grant paor de quenoissance; 	et il a molt grant paor de connoissance. 	13
15	si respont basset 	Si respont basset	14
16	que Diex les beneie. « 	que diex le beneie. 	15
17	Biaux sire, fait la dame, 	Biaus sire fet la dame 	16
18|19	qui estes vos ? — J. chevaliers sui, |ce poez veoir. — 	qui estes uous Dame .i. cheualier . sui. ce poez ueoir. 	17
20	Si m’aïst Diex, fait ele, chevaliers estes vos tel a mon esciant 	Si mait diex fet ele cheualier estes uous. tel au mien escient 	18
21	qu’il n’a vostre pareil ou monde: 	quil na uostre pareil el monde. 	19
22	si le sai par or̈r dire et par veoir et je vos pri par la riens 	si le sai par oir dire et par ueoir. |Et ge uous pri par la riens 	20|21
23	que vos plus amez el monde	que uous plus amez el monde.	22
24	que vos hui veingniez herbergier o moi en un mien chastel 	que uous meshui ueingniez hebergier o moi. en .i. mien chastel 	23
25|26	qui ci pres est, |par couvant 	qui ci pres est. par conuent. 	24
27	que je vos mousterrai demain la plus bele riens 	que ie uous mousterrai demain. la plus bele riens 	25
28	que vos onques veissiez. » 	que rous ueisiez onques. 	26
29	Et il dist 	et il dit 	27
30	qu’il i ira volentiers par cest couvant. « 	quil ira uolenters|par cest couent. 	28|29
31	Or en venez donc, fait ele. — Alez, fait il, 	or uenez |dont fet ele alez fist il 	30|31
32	et je vos suirrai. » La dame s’an vait avant 	et ge uous siurai. |La dame sen uint auant 	32|33
33	et cil aprés 	et cil apres. 	34
34|35	qui greingnor mestier eust de repos |que de chevauchier; 	qui greigneur mester aust de repos que de cheualcher. 	35
36	si ont tant alé 	si ont tant ale	36
