0	Einsi fu Lanceloz III. jorz laienz, 	ANsi demora lancelot en prison. |si fu ensi trois iors 	0|1
1	si adolez 	si pensis|quil fu si adoles 	2|3
2	qu’il em perdi le boivre et le mangier. 	quil en perdi le boire et le mangier.	4
3	Si em pesoit moult a une damoisele de laienz 	si en pesoit moult a vne damoisele de laiens 	5
4	qui chascun jor li aportoit à mengier 	qui chascun ior li aportoit a boire et a mengier. 	6
5	et li avoient baillie a servir et a garder. 	et li auoit on baillie a seruir et a garder. 	7
6	Et ele li faisoit touz les biens	Et elle en pensoit 	8
7	qu’ele pooit el monde 	quamque elle pooit el monde. 	9
8	et li pesoit molt de son courrouz. Au quart jor aprés furent venu li chevalier de laienz d’un tornoiement 	Si li pesoit moult de son corous. Au quart iour furent uenu li cheualiers de laiens del tornoiement 	10
9	qui le jor devant avoit esté; 	qui le iour deuant auoit este. 	11
10|11	si enconmancerent tant a parler |et ça et la 	si en commenchierent tant a parler cha et la quant lancelot entendi bien 	12
12	que Lanceloz l’antandi bien 		
13	qu’il venoient d’un tornoiement. 	quil uenoient dun tornoiement 	13
14	Lors conmance a penser et a correcier soi a lui meismes et dist 	Lors commencha a penser et a corouchier soi. |Et dist 	14|15
15|16	qu’il ne fu onques nus |si maleurous chevaliers 	quil ne fu onques nus hom si maleureus 	16
17	com il est, 	comme il est. 	17
18|19	car quant il est sains et haitiez |et il devroit aler par tout le monde 	Car quant il est sains et haities et il deueroit aler par tout le monde 	18
20	et achever les perilleuses aventures 	et achieuer les perilleuses auentures	19
21	que li autre n’osent atandre et il avroit bien pooir de mener les a chief, 	que li autre cheualier nosent emprendre. |Et il auroit bien pooir de mener les a chief. 	20|21
22	lors le metent deable em prison 	lors le metent li deable en prison. |al	22|23
23	si qu’il n’est nul tans qu’il ne soit malades ou emprisonnez. 	si quil nest nus tamps |quil ne soit enprisones. 	24|25
24	Lors regrete ses mescheances 	Lors regrete sez mescheances 	26
25	dont il avoit trop souvant; 	dont il auoit trop souuent. 	27
26	si conmance a faire trop mervilleux duel. 	si commencha y L a faire moult merueilleus doel. 	28
27	Lors vient laienz la damoisele 	Atant vient auant la damoisele 	29
28	qui de lui se prenoit garde; 	qui de i se prenoit garde. 	30
29	et quant ele l’i vit tel duel mener, 	Et quant elle li voit tel doel demener 	31
30	si en est trop dolente. « 	si en fu trop dolante. 	32
31|32	Ha, sire, fait ele, |que avez vos 	ha : sire fait elle pourcoi 	33
33	qui tel duel menez ? — Damoisele, ja ne devroie je mie duel mener, 	demenes vous tel doel. Damoisele fait il iou ne deuroie mie duel mener. 	34
34	mes moi occirre, 	Ains me deueroie ocirre. 	35
35	car je sui li plus mescheanz chevaliers del monde. — Sire, fait ele, par la riens 	quar iou sui li plus mescheans homs del monde. Sire fait elle par la riens 	36
36	que vos plus amez, dites moi 	que vous plus ames dites moi 	37
37	qui vos estes 	qui vous estes. 	38
38|39	et conment vos avez non |et je vos creant 	et comment vous aues non. Damoisele fait il tant maues coniure. 	39
40	que je ne vos descouverrai 	que iou le vous dirai. Sachies 	40
41	ne ci ne aillors. — Damoisele, fait il, 	que 	41
42	tant m’avez conjuré 	Et iou vous creant loiaument 	42
43	que je le vos dirai. Sachiez 	que iou ne vous en descouuerrai 	43
44	que je sui li plus maleureus chevaliers 	ne ci ne aillors Sui li plus maleureus cheualiers 	44
45	qui onques portast armes 	qui onques portast armes. 	45
46	ne ma mescheance ne comance mie ore premierement, 	ne ma mescheance ne commence mie chi premerainement. 	46
47	mais des	mais dez lor 	47
48	lors que je estoie en bercel ; 	que ie gisoie en mon berch. 	48
49	car je perdi en une matinee mon pere 	Car iou perdi en vne matinee mon pere 	49
50	qui molt estoit vaillanz et prodom et bons chevaliers	qui moult estoit preudoms et uaillans cheualiers. 	50
51	et fui desheritez de toute ma terre 	et fui desherites de toute ma terre. 	51
52	donc je eusse a grant planté, 	dont ie eusse a grant plente 	52
53|54	s’ele m’eust loialment esté gardee. |Si puis dire loiaument 	se elle meust este loiaument gardee. si puis bien dire. 	53
55	que j’ai a non Lancelot del Lac li mescheanz.» 	que iou ai a non lancelot del lac li mescheans. 	54
56	Quant ele entant 	Quant la damoisele entent 	55
57	que ce est Lanceloz, cil 	que ce est lancelot del lac. celui	56
58	que l’an tient au millor chevalier dou monde, 	que on tient QU au meillor cheualier del monde. 	57
59	si est tant liee 	Si est tant lie 	58
60	que nule plus; 	que nulle plus. 	59
61	et lors li dist: « Sire, ceste prison vos anuie molt, je le sai bien, 	et li dist ceste prisons uous anoie moult iou le sai bien 	60
62	et que vos en isteriez volentiers, 	et que vous en ysteries volentiers 	61
63	se vos poiez. — 	se vous peussies. 	62
64	Certes il n’est riens 	Certes fait il. il nest riens 	63
65	que je poïsse faire 	que iou peusse faire. 	64
66	que je ne feisse, 	que ie nel feisse par couuent 	65
67	par couvant que j’an fusse hors. — 	que iou en fuisse hors. 	66
68|69	Par foi, fait ele, |et je vos en osterai, 	par foy fait elle iou vous en geterai 	67
70	se vos 	se vous uoles. |mais que vous	68|69
71	por moi volez faire ce 	por moi voellies faire ce 	70
72	que je vos conmanderai. — Dites, fait il, 	que iou vous commanderai. |Dites fait il	71|72
73	car je le ferai, 	et ie le ferai 	73
74	se j’en ai le pooir?, —	se iou en ai le pooir 	74
75	Or mescoutez 	Or mescoutes	75
76	dont, fait ele. Il est voirs 	dont fait elle Il est uoirs 	76
77	que la roine de Sorestan, la dame de cest chastel 	que la royne de sorestan. la dame de cest chastel 	77
78	ou vos estes, m’a tenue longuement avec li 	ou vous estes ma tenue longement |aueques li	78|79
79	et si vos dirai comment. Il avint, bien a passé X. anz 	si vous dirai comment. Il auint passe a. X. ans 	80
80	que j’estoie petite 	que iou estoie petiter 	81
81	que mes peres, li dus de Rocedon, conmança guerre contre le roi? de Sorestan 	que mes peres li dus de rochedone commencha guerre encontre le roy de sorestan 	82
82	qui fu seingnor a la roine de ceanz. 	qui fu maris a la royne |qui est dame de chaiens. 	83|84
83	Mais au darrien firent pais, 	mais au daerrain firent il pais par ce 	85
84	por ce que mes peres me donna en mariage a I. petit fil le roi 	que mes peres me donna en mariage a. i. petit fil le roy	86
85	qui n’avoit mie plus de VI. anz 	qui nauoit pas plus de. vi. ans. 	87
86	et je estoie en l’aage de V. anz. 	et iou estoie en laage de. y. ans. 	88
87	Aprés ce ne demoura gueres 	Apres che ne demora gaires 	89
88	que mes peres morut et ma mere ausi, 	que mes peres morut.|et me mere aussi 	90|91
89	si que ma terre remest a garder a ceste roine. 	Si que ma terre emest a garder a ceste Royne. 	92
90	Oan ot VIll. jorz devant Noël, 	Si avint awan aussi comme a. viij. iors a deuant noel 	93
91	s’esmut li chevaliers 	que li iouenenciaus 	94
92	qui fiancie m’avoit a la cort 	qui fiancie mauoit sesmut |por aler a la cort le roy artus 	95|96
93	por estre chevaliers noviax, 	por estre cheualiers nouiaus. 	97
94	si nos an mesavint	Si nous en mesauint	98
95	tant qu’il fu occis a l’issue de la forest de Karlion. 	tant quil fu ocis en la forest de carlion . 	99
96	Quant je soi 	Et quant iou soi 	100
97	qu’il fu morz, 	quil fu mors 	101
98	si m’an vos de ceanz aler et li demandai 	si men voeil aler hors de chaiens.|Si dis a ma dame 	102|103
99	qu’ele me randist ma terre. 	quele me rendist ma terre. 	104
