0|1	Einsi fu Lanceloz III. jorz laienz, |si adolez 	Einssi fu lanc̃ .iii. iors laienz si dolenz 	0
2	qu’il em perdi le boivre et le mangier. 	quil em perdi le boiure et le menger 	1
3	Si em pesoit moult a une damoisele de laienz 	Si em pesoit molt a une damoisele de laienz 	2
4	qui chascun jor li aportoit à mengier 	qui chascun ior li aportoit a mengier. 	3
5	et li avoient baillie a servir et a garder. 	et li auoient baillie a seruir le et a garder. 	4
6	Et ele li faisoit touz les biens	Et ele li fesoit touz les biens 	5
7	qu’ele pooit el monde 	quele pooit el monde. 	6
8	et li pesoit molt de son courrouz. Au quart jor aprés furent venu li chevalier de laienz d’un tornoiement 	et ml̃t li pesoit de son courrout. Au quatrisme iour apres furent uenu li cheualiers de laienz dun tornoiement.	7
9	qui le jor devant avoit esté; 	qui le ior deuant auoit este. 	8
10	si enconmancerent tant a parler 	Si en conmencierent tant a parler	9
11	et ça et la 	et ca et la 	10
12	que Lanceloz l’antandi bien 	que lanc̃. lentendi bien. 	11
13	qu’il venoient d’un tornoiement. 	quil uenoient dun tornoiement.	12
14	Lors conmance a penser et a correcier soi a lui meismes et dist 	Lors commence a penser et a correcier soi a lui meismes. |Et dit 	13|14
15|16	qu’il ne fu onques nus |si maleurous chevaliers 	que il ne fu onques nul si maleureus cheualier. 	15
17	com il est, 	comme il est. 	16
18	car quant il est sains et haitiez 	Car quant il est sainz et hetiez 	17
19	et il devroit aler par tout le monde 	et il deuroit aler par tout le monde 	18
20	et achever les perilleuses aventures 	et acheuer les perilleuses auentures 	19
21	que li autre n’osent atandre et il avroit bien pooir de mener les a chief, 	que li autre nosent atendre. |et il auroit bien pooir de mener les a chief.	20|21
22	lors le metent deable em prison 	lors le metent dyables en prison. 	22
23	si qu’il n’est nul tans qu’il ne soit malades ou emprisonnez. 	si quil nest nul tens |quil ne soit malades ou emprisonnez. 	23|24
24	Lors regrete ses mescheances 	LOrs regrete ses mescheances 	25
25	dont il avoit trop souvant; 	dont il auoit trop souuent. 	26
26	si conmance a faire trop mervilleux duel. 	Si commence a fere trop merueilleus duel. 	27
27	Lors vient laienz la damoisele 	Lors uint laienz la damoisele cele 	28
28	qui de lui se prenoit garde; 	qui de lui se prenoit garde. 	29
29	et quant ele l’i vit tel duel mener, 	Et quant ele le uit tel doleur demener. 	30
30	si en est trop dolente. « 	si en est trop dolente. 	31
31	Ha, sire, fait ele, 	Ha: sire fet ele 	32
32	que avez vos 	que auez uous 	33
33	qui tel duel menez ? — Damoisele, ja ne devroie je mie duel mener, 	qui tel duel menez. Damoisele ge ne deuroie mie duel demener: 	34
34	mes moi occirre, 	Mes moi occirre . 	35
35	car je sui li plus mescheanz chevaliers del monde. — Sire, fait ele, par la riens 	Car ge sui li plus mescheanz cheualiers del monde. Sire fet ele par la rien 	36
36	que vos plus amez, dites moi 	que uous plus amez dites moi 	37
37	qui vos estes 	qui uous estes 	38
38	et conment vos avez non 	et comment uous auez non. 	39
39	et je vos creant 	Et ge uous creant loiaument 	40
40	que je ne vos descouverrai 	que ge ne uous descouuerrai 	41
41|42	ne ci ne aillors. — Damoisele, fait il, |tant m’avez conjuré 	ne ci ne aillors. Damoisele fet il tant mauez coniure 	42
43	que je le vos dirai. Sachiez 	que ge le uous dirai. sachiez 	43
44	que je sui li plus maleureus chevaliers 	que ge sui li plus maleureus et li plus mescheanz cheualiers. 	44
45	qui onques portast armes 	qui oncques portast armes. 	45
46	ne ma mescheance ne comance mie ore premierement, 	ne ma mescheange ne commence or mie premierement. 	46
47	mais des	Mes des lors 	47
48	lors que je estoie en bercel ; 	que iestoie a bercheul premierement. 	48
49	car je perdi en une matinee mon pere 	Car ge perdi en une matinee mon pere. 	49
50	qui molt estoit vaillanz et prodom et bons chevaliers	qui molt estoit preudome et uaillant et bon cheualier. 	50
51	et fui desheritez de toute ma terre 	et fui desheritez de toute ma terre 	51
52	donc je eusse a grant planté, 	dont geusse ore a grant plente 	52
53	s’ele m’eust loialment esté gardee. 	se ele meust este loiaument gardee. 	53
54	Si puis dire loiaument 	si puis dire uraiement 	54
55	que j’ai a non Lancelot del Lac li mescheanz.» 	que iai a non lanc̃. del lac. li mescheanz. 	55
56	Quant ele entant 	quant ele entent 	56
57	que ce est Lanceloz, cil 	que ce est lanc̃. cil 	57
58	que l’an tient au millor chevalier dou monde, 	qe len tient au meilleur cheualier. del monde. 	58
59	si est tant liee 	Si est tant liee 	59
60	que nule plus; 	que nule plus. 	60
61	et lors li dist: « Sire, ceste prison vos anuie molt, je le sai bien, 	lors li dist : Sire ceste prison uous anuie molt |ge le sai bien.	61|62
62	et que vos en isteriez volentiers, 	et que uous en istriez uolenters 	63
63	se vos poiez. — 	se uous poiez. 	64
64	Certes il n’est riens 	Certes fait il. il nest riens. 	65
65	que je poïsse faire 	que ge poisse fere. 	66
66	que je ne feisse, 	qui ge ne feisse uolenters par couent 	67
67	par couvant que j’an fusse hors. — 	que gen fusse hors. 	68
68	Par foi, fait ele, 	par foi fet ele 	69
69	et je vos en osterai, 	et ge uous en osterai. 	70
70|71	se vos |por moi volez faire ce 	se uous por moi uolez fere ce 	71
72	que je vos conmanderai. — Dites, fait il, 	que ge uous commanderai. |Dites fet il: 	72|73
73	car je le ferai, 	Car ge le ferai 	74
74	se j’en ai le pooir?, —	se gen ai le pooir 	75
75	Or mescoutez 	or mescoutez 	76
76	dont, fait ele. Il est voirs 	dont fet ele. IL est uoirs 	77
77	que la roine de Sorestan, la dame de cest chastel 	que la royne de sorestan la dame de cest chastel 	78
78	ou vos estes, m’a tenue longuement avec li 	ou uous estes si ma tenue longuement auec li 	79
