A	B
0	0
1|2	1
3	
4	
5	
6|7	2
8	3
9	4
10	5
11	6|7
12	8
13	9
14	10|11
15	12
16	13
17	14
18|19	15
20|21	16
22	17
23	18
24	19
25	20
26	21|22
27|28	23
29|30	24
31	25
32|33	26
34	27
35|36	28
37|38	29
39	30
40	31
41	32|33
42	34
43	35
44	36
45	37
46	38
47|48	39
49	
50	
51|52	40
53	41
54	42
55	
56	43
57|58	44
59	45
60	46
61	47
62|63	48
64|65	49
66	50
67	51
68	52
69	53
70	54
71	55
72	56
73	57
74|75	58
76|77	59
78	60
79|80	61
81|82	62
83	63
84	64
85	65
86	66
87	67
88	68
89	69
90	70
91	71
92	72|73
93|94	74
95	75|76
96|97	77
98	78
99	79|80
100	81
101	82
102|103	83
104|105	84
106	85
107	86
108	87|88
109	89|90
110	91
111	92|93
112	94
113	95
114|115	96
116	97
117	98
118	99
119|120	100
121	
122|123	101
124|125	102
126|127	103
128|129	104
130	
131|132	105
133|134	106
135	107
136	108
137	109
138	110
139|140	111
141|142	112
143	113
144	114|115
145	116
146	117
147|148	118
149	119
150	120
151	121
152	122
153	123|124
154	125
155	126
156	
157|158	127
159	
160|161	128
162|163	129
164|165	130
166	131
167	132
168	
169|170	133
171|172	134
173	
174|175	135
176	136
177|178	137
179	
180	
181|182	138
183	139
184	140
185	141
186|187	142
188	
189|190	143
191|192	144
193	
194|195	145
196	
197	
198	146
199|200	147
201|202	148
203	149
204	150
205	151
206	152
207	153
208	154
209	155
210|211	156
212	157
213	158
214	159
215	160
216	161
217|218	162
219	163
220	164
221	165
222	166
223	167
224	168
225|226	169
227	
228|229	170
230|231	171
232	172
233|234	173
235	
236	174
237	175
238	176
239|240	177
241	
242	
243|244	178
245	179
246|247	180
248	181|182
249|250	183
251|252	184
253	185
254	186
255	187
256	188
257	189
258	190
259	191
260	192
261	193
262|263	194
264	195|196
265	197
266	198
267	199
268	200
269	201
270	202
271	203
272	204
273	205
274	206
275	207
276	208
277	209
278	210
279|280	211
281	212
282	213
283	214
284	215
285	216
	217
286	218|219
287	220
288	221
289	222
290	223
291	224
292	225
293	226
294	227
295	228|229
296	230
297	231
298	232
299	233
300	234
301	235
302	236
303	237
304	238
305	239
	240
306|307	241
308	242
309	243
310	244
311	245
312	246
313	247
314|315	248
316	249
317	250
318	251
319	252
320	253
321|322	254
323	255
324	256
325|326	257
	258
327|328	259
329	260|261
330	262
331	263|264
332	265
333|334	266
335	267
336	268
337	269
338	270
339	271
340|341	272
342	273
343	274
344	275
345	276
346	277
347|348	278
349	279
350	280
351	281
352|353	282
354	283
355	284|285
356	286
357	287
358	288
359	289
360	290
361	291
362|363	292
364	293
365	294|295
366	296
367	297
368	298
369	299
370	300
371|372	301
373	302
374	303
375	304
376	305
377	
378	
379|380	306
381	
382	307
383	308
384	309
385	310
386	311
387	312
388|389	313
390	314
391|392	315
393	316|317
	318
394	319
395	320
396	321
397	322
398	323|324
399	325|326
400	327
401	328
402	329
403	330
404	331
405	332
406	333
407	334
408	335
409|410	336
411|412	337
413	338
414	339
415	340
416	341|342
417	343
418	344
419|420	345
421	346
422	347
423|424	348
425	349
426	350
427|428	351
429	
430	352
431	353
432|433	354
434	355
435|436	356
437	357
438	358
439	359
440|441	360
442|443	361
444	362
445	363|364
446	365
447	366
448	367
449	368
450	369
451	370
452	371
453	372|373
454	374
455	375
456	376
457	377
458	378|379
459	380
460	381|382
461	
462|463	383
464|465	384
466	385
467|468	386
469	387
470	388
471	389
472	390
473	391|392
474	393
475	394
476	395
477	396
478	397
479	398
480	399
481	400
482|483	401
484|485	402
486	
487	403
488	404|405
489	406
490	407|408
491	409
492	410
493	411|412
494	413
495	414
496	415
497	416
498	417
499|500	418
501	419
502	420
503	421
504	422|423
505	424
506	425|426
507	427
508	428
509	429
510	430
511	431
512|513	432
514|515	433
516	434
517|518	435
519	436
520	437
521	438
522	439
523	440
524	441
525	442|443
526	444|445
527	446
528	447
529	448
530|531	449
532	450
533	451
534	452
535	453
536	454
537	455
538	456
539	457
540	458
541	459
542	460
543	461
544	462
545	463
546	464
547	465
548	466
549	467
550	468
551	469
552	470
553	471|472
	473
554	474
555	475
556	476
557	477
558	478|479
559	480
560	481|482
561	483
562	484|485
563	486|487
564	488
565	489
566	490
567	491
568	492
569	493
570	494
571	495
572	496
573	497
574|575	498
576	
577	499
578	500|501
579	502|503
580	504
581	505
582	506
583	507
584	508
585	509
586	510
587	511
588|589	512
590	513
591|592	514
593	515
594	516|517
595	518|519
596	520
597	521
598	522
599	523
600	524
601|602	525
603	526
604	527
605|606	528
607	529|530
608	531
609|610	532
611	533
612	534|535
613	536
614	537
615|616	538
617	539
618	540
619	541
620	542
621	543
622	544
623|624	545
625	
626	546
627	547
628|629	548
630|631	549
632|633	550
634	551
635	552|553
636	554
637|638	555
639	556
640	557
641	558
642	559
643	560
644|645	561
646	562|563
647	564
648	565
	566
	567
	568
649	569|570
650	571|572
651	573|574
	575
652	576|577
653	578
	579
	580
	581
654	582|583
655	584|585
656	586
657	587
658	588|589
	590
	591
	592
	593
659	594|595
	596
660	597
661	598
662	599
663	600
664	601
665	602
666	603
667	604
668	605
669	606
670	607
671	608|609
672	610|611
	612
	613
673	614
674	615
675	616
676	617
677	618
678|679	619
680	620
681	621
682|683	622
684	
685|686	623
687	624
688	625
689|690	626
691	627
692	628
693|694	629
695	630
696	631
697	632
698	633
699	634
700	635
701	636
702	637
703	638
704	639
705	640
706	641
707	642|643
	644
708|709	645
710	646
711	647
712	648
713	649
714	650
715	651
716	652
717	653
718|719	654
720|721	655
722	656|657
723	658
724	659
725	660
726	661|662
727	663
728	664
729	665
730	666
731	667
732	668
733	669
734	670
735	671
736	672
737|738	673
739	674
740	675
741	676
742	677
743	678|679
744	680
745	681
746	682
747	683
748	684
749	685
750	686
751	687
	688
	689
752	690
753	691
754	692
755	693
756	694
757	695
758	696|697
759	698
760	699
761	700
762	701
763	702
764	703
765	704
766	705
767	706
768	707
769	708|709
770	710
771	711
772	712
773	713
774	714
775	715
776	716
777	717
778|779	718
780|781	719
782	
783	
784	720
785	721
786	722
787	723
788	724
789	725
790	726
791	727
792	728|729
793	730
794	731
795	732
796	733
797	734
798|799	735
800	736
801	737
802	738
803	739
804	740
805	741
806	742
807	743
808	744
809	745
810	746
811	747
812	748|749
813	750
814	751
815	752
816	753|754
817	755|756
818	757
819	758
820	759
821|822	760
823	761
824	762
825	763
826	764|765
827	766
828	767
829	768
830	769
831	770|771
832	772
833	773
834	774
835	775
836	776
837	777
838	778
839	779|780
840	781
841	782
842	783
843	784
844|845	785
846|847	786
848	
849|850	787
851	788
852	789|790
853	791
854	792
855	793
856	794
857	795
858	796
859	797
860	798
861	799
862	800
863	801
864	802
865	803
866	804
867	805
868|869	806
870	807
871	808
872	809
873	810
874	811
875	812
876	813
877	814
878	815
879	816
880	817
881	818
882	
883	819
884	820
885	821
886	822
887	823
888	824
889	825
890	826
891	827
892	828|829
893	830
894|895	831
896	832
897|898	833
899	834
900|901	835
902	836
903	837
904	838
905	839
906	840
907	841
908	842
909	843
910	844
911	845
912	846
913	847|848
914	
915	849
916	850|851
917	852
918	853
919	854
920	855
921	856
922	857
923	858|859
924	860
925	861
926	862
927	863
928	864
929	865
930	866
931	867
932	868
933|934	869
935	870
936	871
937	872
938|939	873
940	874
941	875
942	876
943	877
944	878
945	879
946	880|881
947	882
948|949	883
950	884
951	885
952	886
953	887
954	888
955	889
956	890
957|958	891
959	892
960	893
961	894
962	895
963	896
964	897
965	898|899
966	900
967	901
968	902
969	903
970	904
971	905
972	906
973|974	907
975	908
976	909
977	910
978	
979|980	911
981	912
982	913
983	914
984	915
985	916
986	917
	918
	919
987	920
988	921
989	922
990	923
991	924|925
992	926
993|994	927
995	928
996	929
997	930|931
998	932
999	933
1000	934
1001	935
1002	936
1003	937
1004	938
1005	939
1006	940
1007	941
1008	942
1009	943
1010	944
1011	945
1012	946
1013	947
1014	948
1015	949
1016	950
1017	951
1018	952
1019	953
1020	954
1021	955|956
	957
1022	958|959
1023	960|961
1024	962
1025	963
1026	964
1027	965
1028	966
1029	967
1030	968
1031	969
1032	970
1033	971
1034	972
1035	973
1036	974
1037	975
1038	976
1039	977
1040	978
1041	979
1042	980
1043	981
1044	982
1045	983
1046	984
1047	985
1048	986
1049	987
1050	988
1051	989
1052	990
1053	991
1054	992
1055	993
1056	994
1057	995
1058	996
1059	997
1060	998
1061	999
1062	1000
1063	1001|1002
	1003
1064	1004
1065|1066	1005
1067	1006
1068	1007
1069	1008
1070	1009
1071	1010
1072	1011
1073	1012
1074	1013
1075	1014
1076	1015
1077	1016
1078	
1079|1080	1017
1081	1018
1082	1019
