A	B
0	
1|2	0
3|4	1
5|6	2
7|8	3
9	
10	
11	
12|13	4
14|15	5
16	
17|18	6
19|20	7
21	
22	
23|24	8
25	
26	
27	
28|29	9
30	
31|32	10
33|34	11
35	12
36|37	13
38|39	14
40	
41|42	15
43	
44|45	16
46	17
47|48	18
49|50	19
51	20|21
52|53	22
54	23
55	24
56|57	25
58|59	26
60|61	27
62|63	28
64	
65|66	29
67|68	30
69	
70|71	31
72|73	32
74|75	33
76	
77	
78|79	34
80|81	35
82|83	36
84	
85	
86	
87|88	37
89	
90	
91|92	38
93|94	39
95|96	40
97|98	41
99|100	42
101|102	43
103|104	44
105|106	45
107|108	46
109	
110	47
111|112	48
113|114	49
115|116	50
117|118	51
119|120	52
121	53
122|123	54
124|125	55
126	
127|128	56
129|130	57
131|132	58
133|134	59
135|136	60
137|138	61
139	
140|141	62
142|143	63
144|145	64
146|147	65
148|149	66
150|151	67
152	68
153|154	69
155|156	70
157|158	71
159	
160|161	72
162|163	73
164	
165|166	74
167|168	75
169|170	76
171|172	77
173|174	78
175	
176|177	79
178|179	80
180	81
181|182	82
183	83|84
184|185	85
186|187	86
188|189	87
190|191	88
192|193	89
194	90
195	91
196|197	92
198|199	93
200|201	94
202|203	95
204	
205|206	96
207	
208|209	97
210|211	98
212|213	99
214|215	100
216	
217|218	101
219|220	102
221|222	103
223	
224	
225	
226	
227|228	104
229|230	105
231	
232	
233|234	106
235|236	107
237	
238	
239|240	108
241|242	109
243	
244|245	110
246|247	111
248	
249	
250|251	112
252	
253|254	113
255	
256	
257	
258	
259	
260	
261	
262|263	114
264	
265|266	115
267	
268	
269	
270	
271|272	116
273	
274	
275	
276	
277	
278	
279	
280	
281	
282	
283	
284	
285	
286|287	117
288|289	118
290	
291	
292	
293	
294	
295	
296	
297	
298	
299	
300	
301	
302	
303	
304	
305	
306	
307	
308	
309	
310	
311	
312	
313	
314	
315	
316	
317|318	119
319	
320	
321	
322	
323	
324	
325|326	120
327	
328	
329|330	121
331	
332	
333	
334	
335	
336	
337|338	122
339|340	123
341|342	124
343	
344|345	125
346	
347	
348	
349	
350	
351	
352	
353	
354	
355	
356	
357|358	126
359	
360|361	127
362	
363|364	128
365	
366	
367|368	129
369	
370	
371	
372	
373	
374	
375	
376	
377	
378	
379|380	130
381	
382	
383	
384	
385	
386	
387	
388	
389	
390	
391	
392	
393	
394	
395	
396	
397	
398	
399	
400|401	131
402|403	132
404	
405	
406	
407	
408	
409|410	133
411	
412	
413	
414	
415	
416	
417	
418|419	134
420	
421	
422	
423	
424	
425	
426	
427	
428	
429	
430	
431	
432	
433	
434	
435	
436	
437|438	135
439	
440	
441|442	136
443	
444	
445	
446	
447	
448	
449	
450	
451	
452	
453	
454	
455	
456	
457	
458	
459	
460	
461|462	137
463	
464	
465	
466	
467|468	138
469|470	139
471|472	140
473|474	141
475|476	142
477	
478	
479	
480	
481	
482	
483	
484|485	143
486|487	144
488	
489	
490	
491	
492|493	145
494|495	146
496	
497|498	147
499	
500|501	148
502	
503|504	149
505|506	150
507|508	151
509|510	152
511|512	153
513|514	154
515|516	155
517|518	156
519	157
520|521	158
522	159
523|524	160
525	
526|527	161
528|529	162
530|531	163
532	164
533|534	165
535|536	166
537	167
538|539	168
540|541	169
542	170
543	171
544|545	172
546|547	173
548	174
549	175|176
550|551	177
552	178|179
553	180|181
554	182
555	183
556	184
557	185
558	186
559	187
560	188
561	189
562	190
563|564	191
565|566	192
567|568	193
569	194
570|571	195
572	196
573	197|198
574|575	199
576|577	200
578|579	201
580	202
581	203
582	204
583|584	205
585|586	206
587	207
588	208
589|590	209
591	210|211
592	212|213
593	214
594|595	215
596|597	216
598	
599|600	217
601	218
602|603	219
604	
605|606	220
607|608	221
609	
610	
611	
612	
613	
614|615	222
616	
617	
618	
619	
620|621	223
622|623	224
624	
625	
626|627	225
628|629	226
630	
631|632	227
633	
634|635	228
636	
637|638	229
639|640	230
641|642	231
643|644	232
645|646	233
647|648	234
649|650	235
651|652	236
653|654	237
655|656	238
657	
658|659	239
660|661	240
662	
663	
664|665	241
666|667	242
668	
669|670	243
671	
672	
673	
674|675	244
676	
677	
678|679	245
680|681	246
682|683	247
684|685	248
686	
687|688	249
689	
690	
691|692	250
693|694	251
695	
696|697	252
698	
699|700	253
701	
702	
703|704	254
705	
706|707	255
708|709	256
710	
711	
712	
713|714	257
715|716	258
717	
718|719	259
720|721	260
722|723	261
724	
725	
726	
727	
728	
729|730	262
731|732	263
733	
734|735	264
736|737	265
738	
739	
740	
741	
742|743	266
744	
745	
746	
747	
748|749	267
750	
751	
752|753	268
754|755	269
756	
757	
758|759	270
760	
761|762	271
763	
764	
765	
766	
767|768	272
769	
770|771	273
772|773	274
774	
775	
776	
777	
778	
779|780	275
781	
782	
783	
784	
785	
786	
787	
788	
789	
790	
791|792	276
793|794	277
795	
796	
797	
798|799	278
800	
801	
802	
803	
804|805	279
806	
807	
808	
809	
810	
811	
812	
813	
814	
815	
816|817	280
818	
819	
820|821	281
822	
823	
824	
825	
826	
827	
828	
829	
830	
831	
832	
833	
834	
835	
836	
837	
838	
839	
840	
841	
842	
843	
844	
845	
846	
847	
848	
849	
850	
851	
852	
853	
854	
855	
856	
857	
858|859	282
860	
861	
862	
863	
864|865	283
866	
867	
868	
869	
870	
871	
872	
873	
874	
875|876	284
877	
878	
879	
880	
881	
882	
883	
884	
885	
886	
887	
888	
889	
890	
891	
892	
893	
894	
895	
896	
897	
898	
899	
900	
901	
902	
903	
904	
905	
906	
907	
908	
909	
910	
911	
912	
913	
914	
915	
916	
917	
918	
919	
920	
921	
922	
923	
924	
925	
926	
927	
928	
929	
930	
931	
932	
933	
934	
935	
936	
937|938	285
939	
940	
941	
942	
943	
944	
945	
946	
947	
948	
949	
950	
951	
952|953	286
954	
955	
956	
957	
958	
959|960	287
961	
962	
963	
964	
965	
966	
967	
968	
969	
970	
971	
972	
973	
974	
975	
976	
977	
978	
979	
980|981	288
982	
983	
984|985	289
986	
987	
988	
989	
990	
991	
992	
993	
994	
995	
996	
997	
998	
999	
1000	
1001|1002	290
1003	
1004	
1005	
1006	
1007	
1008|1009	291
1010	
1011|1012	292
1013|1014	293
1015|1016	294
1017|1018	295
1019	
1020	
1021|1022	296
1023	
1024|1025	297
1026	
1027|1028	298
1029|1030	299
1031	
1032	
1033	
1034	
1035	
1036|1037	300
1038|1039	301
1040	
