0	Lors saut avant li nains 	LOrs sault auant li nains 	0
1	et dist a mon signor Vvain: «Sire,	et dit a monseignor .y. Sire: 	1
2	tant sachiez vos de Lancelot 	tant sachiez uons de lanc̃. 	2
3|4	qu’il est sains |et haitiez 	quil est sainz 	3
5|6	ne n’a pas encor V. jorz |que je le vi a I. tornoiement 	et hetiez ne na pas encore .u. iors. que ie le ui a .i. tornoiement. 	4
7	qui fu feruz devant le chastel a la Charrete des chevaliers de Gorre et des homes le roi de Norgales, 	qui fu feruz deuant le chastel de la charrete. des cheualiers de Gorre et des homes le roy de norgales 	5
8	et si le fist si bien a cele assemblee 	et le fist si bien a ceste assemblee 	6
9	qu’il vainqui tout 	quil uainqui tout outreement. 	7
10	et emporta tout le pris d’une part et d’autre. 	et enporta le pris dune part et dautre. 	8
11	Et por ce que vos m’en creez mielz, vos di je 	Et pour ce que uous men creez miex uous di ge. 	9
12	qu’il porta armes blanches 	quil porta armes blanches. 	10
13	et J. escu blanc et aida au roi de Gorre 	et .i. escu blanc. |et si aida au roy badem̃. de gorre. 	11|12
14	si que tuit cil de Norgales furent vaincu. — En non Deu, fait mes sire Yvain, tu en dis si bonnes enseingnes 	si que tuit cil de norgales furent uaincu. |En non dieu fet misire .y. tu en diz si bonnes ensaignes. 	13|14
15	que l’an t’an doit bien croire: 	que len ten doit bien croire. 	15
16	si m’en porrai bien retorner, 	Si men porrai bien retorner	16
17	quant moi plaira, 	quant moi plera 	17
18	car bien voi 	quar il mest auis 	18
19	que j’ai ma queste afinee, 	que iai bien ma queste affinee. 	19
20	puis que j’en ai oïes vraies noveles. — Ja ne poez vos mie retorner a cort, fait li nains, 	puis que ien ai uraies nouueles oies. Ia ne poez uos mie retorner a court fet li nains sanz uos autres compaignons. |puis	20|21
21	sanz vos autres compaingnons. — 	que uous meustes ensemble. 	22
22	Si puis bien. fait il. — 	si puis bien fet misire. yuains. 	23
23|24	Or me di, nains, fait Boorz, |et de la cort seztu nouveles ? — 	OR me di nains fet .bo. et de la court. sez tu nules nouueles.	24
25	Oïl, fait li nains, li rois a fait mander par toute sa terre 	oil fet li nains li rois a fet crier par toute sa terre. 	25
26	qu’il fera ferir J. tornoiement as huitaves de la Magdelainne es prez desouz Kamaalot;	que il fera ferir .i. tornoiement as octaues de la madaglaine. es prez de souz camaalot. 	26
27	si envoie touz ses messages as barons de cest pais 	Si a enuoie touz ses messages. as barons de ceste terre. 	27
28	por ce	pour ce 	28
29	qu’il i soient, 	quil i soient 	29
30	et je meismes le vois nonçant? a touz les prodomes 	Et ge meismes le uoiz denoncant atouz les cheualiers preudomes 	30
31	que je conois 	que ge connois. 	31
32	qu’il i aillent, 	quil y aillent. 	32
33	car touz li monz i sera. — Diex doint, fait Boorz, 	Car touz li mondes i sera. |Diex doinst fet boors. 	33|34
34	que je aie entre ci et la achevee la besoingne a ceste damoisele, 	que iaie entre ci |et la acheue la besoingne a ceste damoisele. 	35|36
35	car molt avroie grant joie,	Car ml̃t auroie grant ioie 	37
36	se g’i pooie venir a tans. » Longuement ont parlé ensemble 	se gi pooie uenir a temps. Longuement ont parle ensemble. 	38
37|38	tant|que Boorz dist a mon signor Yvain: « Sire, je vos conmanderai a Dieu 	tant que boors dist a monseignor .y. Sire : ge uous commanderai a dieu. 	39
39	et m’an irai, 	et men yrai. 	40
40	qu’il le me couvient faire, 	car il le me couient a fere 	41
41	car je me hasteroie volentiers de ma besoingne mestre a fin 	Car ge me hasteroie uolenters de metre ma besoigne a fin. 	42
42	por savoir 	pour sauoir 	43
