A	B
0	0
1	1
2	2
3	3|4
4	
5	5
6	6|7
7	8
8	9
9	10|11
	12
10	13
11	14
12	15
13	16
14	17
15	18
16	19
17	20
18	21|22
19	23
20	24
21	25
22	26
23	27
24|25	28
26	29
27|28	30
29	31
30	32
31	33
32	34|35
33	36
34	37
35	38
36	39
37	40
38	41
39|40	42
41	43
42	44
43	45
44|45	46
	47
46	48|49
47	50
48	51
49	52
50	53|54
	55
51	56|57
52	58
53	59
54	60
55	61
56	62
57	63
58	64
59	65
60	66
61	67
62	68
63	69
64	70
65	71
66	72
67	73
68	74
69	75
70	76
71	77
72	78
73	79
74	80
75	81
76	82
77	83
78	84
79	85
80	86
81	87
82	88
83	89|90
84	91
85	92
86	93
87	94|95
88	96|97
	98
	99
89	100
90	101
91	102
92	103
93	104
94	105
95	106
96	107
97	108
98	109
99	110
100	111
101	112
102	113
103|104	114
105	115
106	116
107	117
108	118
109	119
110	120
111	121
112	122
113	123
114	124|125
115	126|127
	128
	129
116	130
117	131
118	132
119	133
120	134
121	135
122	136
123	137
124|125	138
126	139
127|128	140
129	141
130	142
131	143
132|133	144
134	145
135	146
136	147
137	148
138	149|150
139	151
140	152
141	153
142	154
143	155
144	156
145	157
146	158|159
147	160|161
148	162
149	163|164
150	165
151	166
152	167
153	168
154	169
155|156	170
157	171
158	172
159	173
160	174
161	175
162	176
163	177
164	178
165	179
166	180
167	181
168	182|183
169	184
170	185
171	186
172	187
173	188
174	189
175	190|191
176	192
177	193
178	194
179	195
180	196
181	197
182	198|199
183	200
184	201|202
185	203
186	204
187	205
188	206|207
189	208
190	209
191	210
192	211
193	212
194	213
195|196	214
197	215|216
198	217
199	218
200	219
201	220|221
202	222
203	223
204	224
205	225
206	226
207	227
208	228|229
209	230
210	231
211	232
212	233
213	234
214	235
215	236
216	237
217|218	238
219	239
220	240
221	241|242
222	243
223|224	244
225	245|246
226	247|248
227	249|250
228	251
229	252
230	253
231	254
232	255
233	256
234	257
235	258
236	259
237	260
238	261
239	262
240	263
241|242	264
243	265
244	266
245	267|268
246|247	269
248	270
249	271
250	272
251	273
252	274
253	275
254	276
255	277
256	278
257	279|280
258	281|282
259	283
260	284
261	285
262	286
263	287
264	288
265	289
266	290
267	291
268	292
269	293
	294
	295
	296
270	297
271	298|299
272	300
273	301
274	302
275	303|304
	305
276	306
277	307|308
	309
278	310|311
	312
279	313
	314
280	315|316
281	317
	318
282	319
283	320|321
	322
284	323
285	324
286	325
287	326
288	327|328
289	329|330
290	331
291|292	332
293	333
294	334
295	335|336
296|297	337
298|299	338
300	
301|302	339
303|304	340
305|306	341
307|308	342
309|310	343
311	344
312	345
313	346
314	347
315	348
316	349
317	350
318	351
319	352|353
320	354
321	355
322	356
323	357
324	358
325	359|360
326	361
327	362|363
328	364
329	365
330	366
331	367
332	368
333	369
334	370
335	371
336	372
337	373
338	374
339	375
340	376
341	377
342	378|379
343	380
344	381
345	382
346	383
347	384
348	385
349	386
350	387
351	388
352	389
353	390
354	391
355	392
356	393
357	394
358	395
359|360	396
361	397
362	398|399
	400
363	401|402
364	403|404
	405
365	406|407
	408
366	409
367	410
368	411
369	412
370	413
371	414
372	415|416
373|374	417
375|376	418
377	
378|379	419
380|381	420
382	421
383|384	422
385	423
386|387	424
388|389	425
390|391	426
392|393	427
394|395	428
396|397	429
398	430|431
399	432
400	433
401	434
	435
402	436
	437
403	438|439
404	440
	441
405	442
406	443
407	444|445
408	446
409	447
410|411	448
412	449
413	450
414	451
415	452
416	453
417	454
418	455
419|420	456
421	457
422	458
423	459
424	460
425	461
426	462
427	463
428	464
429	465|466
	467
430	468
431	469
432|433	470
434	471
435	472
436	473
437	474
438	475
439	476
440	477|478
441	479
	480
442	481|482
443|444	483
445	484
446	485
447	486
448	487
449	488
450	489
451	490
452	491
453	492
454	493
455	494|495
456	
457	496
458	497
459	498
460|461	499
462|463	500
464	501
465	502
466	503
467	504
468	505|506
469	507|508
470|471	509
472	510
473	511
474	512
475	513
476	514
477	515
478	516
479	517
480	518
481	519
482	520
483	521
484	522
485	523
486	524
487	525
488	526
489	527
490	528|529
491	530
492	531
493	532
494	
495|496	533
497	534
498	535
499	536|537
500	538
501	539
502	540
503	541
504	542|543
505	544
506|507	545
508	546
509	547
510	548
511	549
512	550
513	551
514	552
515	553
516	554|555
517	556
518|519	557
520	558
521	559
522	560
523	561
524	562
525|526	563
527|528	564
529|530	565
531	566
532	567
533	568
534|535	569
536	570
537|538	571
539	572
540	573
541	574
542	575
543	576
544	577|578
545	579
546	580|581
547	582
548	583
549	584
550	585
551	586|587
552	588|589
553|554	590
555	591|592
	593
556	594
557	595|596
558|559	597
560	598
561	599
562	600
563	601
564	602
565	603
566	604|605
567	606
568|569	607
570	608
571	609
572	610
573	611
574	612
575	613
576	614
577	615
578	616
579	617
580	618
581	619
582	620|621
583|584	622
585	623|624
586	625
587	626
588	627
589	628
590|591	629
592	630
593	631
594	632
595	633
596|597	634
	635
598|599	636
600	637
601|602	638
603	639
604	640|641
605	642
606	643
607	644
608	645
609	646
610	647
611	648
612	649|650
613	651
614	652
615	653
616	654
617	655
618	656|657
619	658
620	659
621	660
622	661|662
623	663
624	664
625	665
	666
626	667|668
627	669
628	670
629	671|672
630	673
631	674|675
632	676
633	677
634	678
635	679
636|637	680
638	681
639	682
640	683
641	684
642	685
643	686
644	687
645	688
646	689
647	690
648	691
649	692
650	693
651	694
652	695
653	696
654	697
655	698
656	699
657	700|701
658	702
659	703
660	704
661	705
662	706|707
663	708
664	709
665	710
666	711
667	712
668	713|714
669	715
670	716
671	717|718
672	719|720
673	721
674	722
675	723
676	724
677	725
678	726
679	727
680	728
681	729
682	730
683	731
684	732
685	733
686	734
687	735
688	736
689	737
690	738
691	739
692	740
693	741
694	742
695	743
696	744
697	745|746
698	747
699|700	748
701	749
702	750
703	751
704	752
705	753
706	754
707	755
708	756|757
709	758
710	759
711	760
712	761
713	762
714	763
715	764
716	765
717|718	766
719	
720	767
721	768
722	769|770
723	771
724	772
725	773
726	774
727	775
728	776|777
729	778
730	779
731	780
732	781
733	782
734	783
735	784
736	785
737|738	786
739	787
740	788
741	789
742	790|791
743	792
744	793
745	794
746	795
747	796
748	797
749	798
750	799|800
751	801
752	802|803
753	804
754	805
755	806
756	807
757	808
758	809
759	810
760	811
761	812
762	813
763	814
764	815
765	816
766	817
767	818
768	819
769	820
770	821
771	822|823
772	824
773	825
774	826
775	827
776	828
777	829
778	830
779	831
780	832
781	833
782	834
783	835
784	836|837
785|786	838
787	839
788	840
789	841
790	842
791	843
792	844|845
793	846|847
794	848
795	849
796	850
797|798	851
799	852
800	853
801	854
802	855
803	856
804|805	857
806	858
807	859
808	860
809	861
810	862
811	863
812	864|865
813	866
814	867
815	868
816	869
817	870
818	871
819	872
820	873
821	874
822	875
823	876
824	877
825	878
826	879
827	880
828	881
829	882
830	883
831|832	884
833	885
834	886
835	887
836	888
837	889
838	890
839	891
840	892
841|842	893
843	894
844	895
845	896
846	897
847	898
848	899
849	900
850	901
851|852	902
853|854	903
855	904
856	905
857|858	906
859	907
860	908|909
861	910|911
862	912
863	913
864	914
865	915
866	916|917
867	918
868	919
869	920
870	921
871	922
872	923
873	924
874	925
875	926
876	927
877	928
878	929
879	930|931
880	932
881	933
882	934
883	935
884	936
885	937
886	938
887	939
888	940
889|890	941
891	942
892	943
893	944
894	945
895	946
896	947
897	948
898	949
899	950
900	951
901|902	952
903	953
904	954
905	955|956
906	957
907	958
908	959
909	960
910	961
911|912	962
913	963
914	964
915	965
916	966
917	967
918	968
919	969
920	970
921	971
922	972
923	973
924	974
925	975|976
926	977
927	978
928	979
929	980
930	981
931	982
932	983
933	984
934	985|986
935	987|988
936	989
937	990
938	991
939	992
940	993
941	994
942	995
943	996|997
944	998
945|946	999
947	1000
948	1001
949	1002
950	1003
951	1004
952|953	1005
954	1006
955	1007
956	1008
957|958	1009
959|960	1010
961	1011
962	1012
963	1013
964|965	1014
966	1015|1016
967	1017|1018
968|969	1019
970	1020
971	1021
972	1022
973	1023
974	1024|1025
	1026
975	1027
976	1028|1029
977	1030
978	1031|1032
	1033
979	1034
980	1035
981	1036
982	1037
983	1038
984	1039
985	1040|1041
986	1042
987	1043|1044
988	1045
989	1046
990	1047
991	1048
992	1049|1050
993	1051
994	1052
995	1053
996	1054
997	1055
998	1056
999	1057
1000	1058
1001	1059
1002	1060
1003	1061
1004	1062
1005	1063
1006	1064
1007	1065
1008	1066
1009	1067
1010	1068
1011	1069
1012	1070
1013	1071
1014	1072
1015	1073
