	micha-ii-48	fr751-ii-48	sommer--ii-48	fr111-ii-48	inc-ii-48	lanzarote-ii-48	lancellotto-ii-48
0	avoir trové. » 	porce |que io le uodroie auoir troue 	auoir troue fait elle. 	Sire fait elle pour ce |que ie le uoudroie auoir trouue. 	Sire fait elle enuellopee |quil ne la pouoit cengnoistre |pour pour ce	queria fallar muy de grado 	avere trovato». 
1	Si li conte tote s’aventure issi 	Si li conte tote sauenture	si li conte toute sauenture 	si luy compte toute sauanture ansi 	que ie le uouldroie auoir trouue |si luy compte toute son auanture	e luego le conto todo 	Si gli conta tutta sua aventura 
2	com vos avés oi dire ça arrieres. 	ainsi com li contes la retraite. 	si com li contes la retrait cha en arriere. 	comme le comte la dit |cy deuant	tant 	como le auia conel contesçido |asi como el cuento lo a deuisado 	si come el libro l’à trattato qua adietro, 
3|4|5|6	tant qu’il conoist bien |que c’est il |qu’ele quiert a, |Mais por le coros de la mort al seneschal ne se volt fere conoistre, 	Tant que il quenoit bien |que cest ele |que il le quiert. |mais por le corrous |quil auoit de la mort au seneschal: 	Tant que il connoist bien |quele le quiert. |Mais pour le courous |quil a del senescal. 	tant |que il cognoist bien |que cest il |quelle quiert. |Mais pour le courroux |quil a de la mort au seneschal ne se ueult il faire cognoistre 	quil cengnoit bien |que cest celle |qui le quiert/ |Mais pour le couroust |quil a du sencchal 	e luego entendio boores |que ael andaua ella buscando mas porel pesar dela muerte del senescal no se quiso fazer 	tanto che conosce bene |che ciò est elli quelli |cui ella chiede, |ma per lo cruccio |ch’egli à della morte del siniscalco non si vuole fare cognoscere, 
			ne se volt il faire aconnoistre. 				
		ne se wet faire 					
7|8|9|10|11|12|13|14|15	ains li respont: « |Certes, damoisele, chevalier |qui porte escu blanc ne conois je nul. — |En non Dieu, sire, fet ele, |ce poise moi chierement. » |Et il n’en tient plus a li parole, |ains part si tost |com il l’ot commandee a Dieu a |et chevalche en tel maniere jusqu’a tierce 	quenoistre a li|si li dit. |Certes damoisele |qui port escu blanc ne sai ie nul. |En no dieu fait ele de ce me poise il trop durement. |et il ne tient plus a li parole. |Ains sen part|si tost comme il lot comandee a dieu. |et cheuauche en tel maniere. 	Ains li respont. |Certes damoisele le cheualier |qui porte blanches armes |ne connois iou mie. Enon dieu sire fait elle che poise moi moult durement. |Lors le commande a dieu |et puis sen part de li |et cheuauche en tel maniere iusques a tierce.	Certes damoisele de celle mesmes matiere dessus dicte ie ne scay nul cheualier |qui porte escu blanc. |Certes sire fait elle ce me poise |et il ne tient plus parole a luy.|ains sem part |si tost |quil leut commandee a dieu et cheuauche en telle maniere 	et de sa mort ne se uoult faire congnoistre/ |mes leur respont certes damoiselle ie ne cengnois mie le cheualier |qui porte les blances armes. En nen dieu fait elle il me poyse monlt chierement. |A donc sen part |et ne uoult plus parler il la commandee a dieu |et sen ua. et cheuauche iusques a tierce eustes onques pitie de nulle gentille dane aies tant	conosçer antele rrespondio çierto donçella al cauallero |que traia blancas armas no conozco yo |Pardios dixo la donçella mucho me Pesa caramjente |e boores non quiso conella mas estar |e acomendo la a dios |e fuese e andubo tanto 	anzi le risponde: |'Certo, damigella, il cavaliere |che porta lo scudo bianco non ne so io nulla. —A nome di Dio, dis’ella, |ciò pesa a mes. |E non tenne più a-llei parole, |anzi si parti si tosto come l’à comandata a dDio |e cavalca tanto in tale maniera infino qua a terza, 
16	tant qu’il vint a l’issue de la forest; 	tant quil uient a lissue de la forest 	Tant que il vint a lissue de la forest. 	iucqua tierce |tant quil uient a lissue de la fourest. 	quil uint a lissue de la forest 	que salio dela floresta 	tanto|che viene a l’uscita della foresta. 
17	et il torne a destre vers un chemin viés et ancien; 	et il torne a destre uers le chemin uiee et acien 	et torne a destre en vn petit chemin viez 	et il tourne a destre vers ung chemin uieil et ancien.	et il tourna a destre uers ung petit chemyn uieil: 	e dexo el camino e tomo a mano derecha vn camino pequeño |e biejo lleno de yerba 	Ed e torna a destra inverso uno camino vecchio e antico, 
18	si ne demora gueres 	Si ne demora gaires	Si ne demora gaires 	Si ne demoura gueres 	si ne demoura gueres 	e non andubo mucho 	si non dimora guari 
