0|1	queria fallar muy de grado|e luego le conto todo	Sire fait ele porce	0
2	como le auia conel contesçido	que io le uodroie auoir troue	1
3	asi como el cuento lo a deuisado	Si li conte tote sauenture ainsi con li contes la retraite|Tant que il quenoit bien	2|3
4	e luego entendio boores	que cest ele|que il le quiert	4|5
5	que ael andaua ella buscando mas porel pesar dela muerte del senescal no se quiso fazer conosçer antele rrespondio çierto donçella al cauallero	mais por le corrous quil auoit de la mort au seneschal: ne se wet faire quenoistre a li|si li dit	6|7
		Certes damoisele	8
6	que traia blancas armas no conozco yo Pardios dixo la donçella mucho me Pesa caramjente	qui port escu blanc ne sai ie nul|En no dieu fait ele de ce me poise il trop durement	9|10
7	e boores non quiso conella mas estar	et il ne tient plus a li parole|Ains sen part	11|12
8|9	e acomendo la a dios|e fuese	si tost comme il lot comandee a dieu	13
10	e andubo tanto	et cheuauche en tel maniere	14
11	que salio dela floresta	tant quil uient a lissue de la forest	15
12|13	e dexo el camino|e tomo a mano derecha vn camino pequeño	et il torne a destre uers lr chemin uiee	16
14|15	e biejo lleno de yerba|e non andubo mucho	et acien	17
16|17	porque llego a vn valle|Por do corria vn agua muy negra	Si ne demora gaires quil uient a une eue lee	18
18|19	e fea|e fonda	et parfonde	19
20|21	e non fallo puente|por do Pudiese pasar	mais il ni trueue ne pont ne gue ne passaige nul	20
22	e cato dela otra parte Del agua	et lors regarde il dautre part de leue	21
23	e vio vn castillo muy bien asentado çercado de muy buen muro todo enderredor	Si uoit	22
24	e el cato gran pieça el castillo	i|petit chastelet moult bien feant	23|24
25	ca mucho se pagaua delo catar	qui estoit clos de murs batilliez de toutes pars enuiron a la roonde Il esgarde Longuement le chastel|dont Ia fasons li plait moult a esgarder	25|26
26	e despues torno la rribera ayuso	et puis sen torne tot contreual la riuere	27
27|28	Por saber|si podria fallar puente	Por sauoir se il i troueroit ne pont ne gue	28
29	Por do pasase mas el no pudo fallar ninguna	mais il nen i trurue point :	29
30	e boores desque esto vido no sabia	si ne sot	30
31	que se façer	que faire	31
32	ca el no se queria tomar en ninguna manera	car retorner ne wet il mie atant uoit issir une damoisele dou chastel	32
33	Ansi estando vio del castillo salir vna donçella en camisa	qui estoit tote nue en sa chemisse|si la menoient	33|34
34	que traian quatro rribaldos muy sañudamente	iiii|tre ribaus moult uilment	35|36
35	e cadavno traia enla mano vna lança	et tenoit chascuns une hache en sa main	37
36	e ella daua vozes	et ele crioit quantque le pooit crier	38
37	quanto podia dar	por ciax|qui li fasoient tele honte	39|40
38	e ellos la lleuaron muy desonrrada mente contra la rribera porla yr ha echar	et tel laidure|que il la menoient batant tout contrtual la riuiere t	41|42
39	e quando la donçella vio a bores dela otra parte del agua començo a dar vozes	quant la damoisele uoit le cheualier dautre part la riuiere|si li comance a crier	43|44
40	e a deçir ay jentil cauallero acorred a esta donçella	ha: gentis cheualiers secores ceste damoisele	45
41	que estos Ribaldos me quieren	que ciz ribaut wellent ocire	46
42|43	ansi matar ay buen cauallero|si nunca oviste piedad de donçella auelda agora de mi	ha; frans hons ne mi laissiez morir se uos eutes onques pitie de franche damosele	47
44	e no me dexedes	Quant bohort	48
45	asi morir	oit cele	49
46	Quando boores oyo	que si piteusement lapele	50
47	lo que la donçella deçia no supo	et li prie quil la sekeure|Sire set	51|52
48	que façer	que faire	53
49	ca muy de grado la quisiera acorrer	car uolentiers li alait aidier se il poist	54
50	si pudiese Mas el agua hera muy fonda	Mais il uoit leue|si parfonde	55|56
51|52	e peligrosa|e negra	et si perilleuse	57
53|54	e bien cuidaua morir|si se y Metiese	que il cuide bien perir se il se met dedans	58
55	e dela otra parte veya la donçella	et dautre part il uoit cele	59
56	que muy afincada mente le pedia merçed	qui si docement li prie nc|ci	60|61
57|58	e ovo tal piedad della|que le fiço todo el miedo perder	Si len prent tes pitiez quil en laisse totes paours	62
59	e fiço la señal dela cruz sobre	Si fait le signe de la crois enmi son uis	63
60	si e enbraço el escudo	puis enbrace lescu	64
61	e firio al cauallo de las espuelas	et broche le cheual des esperons	65
62|63	e lanço se en el agua|e el cauallo començo de nadar	et se fiert en leue tot errantment	66
64	luego e perdio tierra en tal manera	Et li cheuaus fu fors	67
65|66	que paso dela otra parte del agua mas ante beuio el cauallo del agua|e si el caballo tan bueno no fuera sin dubda el moriera enel agua	si comance a noer	68
67|68	e boores porel peso delas armas|que llebaua	si tost con il ot ntre perdue	69
69	e desque fue dela otra Parte del agua dexo se correr aquel	si lenporte dautͤ part la riue a quelque painne|Si ne descendi pas ains cort uers ciax	70|71
70	los que la donçella tenian	qui la damoisele renoient	72
71	e firio al primero	que il consieut quil li met le glaiue parmi le cors	73
72|73	que encontro en tal manera|que le metio la lança porel cuerpo	si labat mort aterre	74
74|75	e los otros dos|que aquello vieron fuyeron	et li autre sen fuient porre q̾l estoient desarme	75
76|77	luego por miedo de no ser muertos|ca todos estauan desarmados	et la damaisele	76
78|79	e la donçella desque aquello vido finco los ynojos ante boores|e dixo ay jentil cauallero vendito seades de dios	qui deliuree ce uoit se met a genous deuant bohort ha gentis cheualiers fait ele beneois soiez uos de dieu	77
80	que asi me librastes de muerte	quant uos mauez de mort rescoce	78
81	e bendito sea dios	et aoures soit diex	79
82	que aqui vos traxo	quant ils amena ceste part	80
83	que estos villanos me hubieran muerto	Car cil gloton meussent ia morte ce uos ne fussiez	81
84	si por vos no fuera donçella dixo boores	Damoisele fait il porcoi|Sire fait ele ie le uos dirai bien	82|83
85	Por que señor dixo ella yo vos lo dire mas ante conuiene	mais que uos maiez misse a Sauuete|Coument fait il auez uos	84|85
86	que non aya miedo de ninguno Donzella dixo boores de quien auedes miedo señor dixo ella del señor del castillo	dont garde|Certes sire faic ele ia a seur ne sera tant com ie saiche laiens le signeur de cest chastel	86|87
87	ca es el mas follon omne de todo el mundo	Car cest li plus fel cheualiers dou monde	88
88	e mas cruel Ellos	et li plus traites	89
89	asi fablando vieron salir del castillo vn caballero	a ces paroles uoit issir un cheualier del chastel	90
