a	b	c	d	e
0	avoir trové	auoir troue fait elle	queria fallar muy de grado|e luego le conto todo	avere trovato	pout ce
1|2|3	Si li conte tote s aventure issi com vos avés oi dire ça arrieres|tant qu il conoist bien|que c est il qu ele quiert a	si li conte toute sauenture|si com li contes la retrait cha en arriere|Tant que il connoist bien quele le quiert	como le auia conel contesçido|asi como el cuento lo a deuisado|e luego entendio boores|que ael andaua ella buscando	Si gli conta tutta sua aventura|si come el libro l à trattato qua adietro|tanto che conosce bene|che ciò est elli quelli cui ella chiede	que iele uoul droie auoir trouue siluy compte toute son auanture tant quil cõgnoit bien|que cest celle|qui le quiert
4	Mais por le coros de la mort al seneschal ne se volt fere conoistre ains li respont Certes damoisele chevalier	Mais pour le courous quil a del senescal|ne se volt il faire aconnoistre	mas porel pesar dela muerte del senescal no se quiso fazer conosçer antele rrespondio çierto donçella al cauallero	ma per lo cruccio|ch egli à della morte del siniscalco non	Mais pour le couroust quil a du sencchal|et de sa mort ne se uoult faire congnoistre
					mes leur respont cer tes damoiselle ie ne cõgnois mie le cheualier
				si vuole fare cognoscere	
				anzi le risponde	
				: 'Certo	
				damigella	
				il cavaliere	
		Ains li respont			
		Certes damoisele le cheualier			
5|6	qui porte escu blanc ne conois je nul|— En non Dieu sire fet ele ce poise moi chierement	qui porte blanches armes ne connois iou mie|Enon dieu sire fait elle che poise moi moult durement	que traia blancas armas no conozco yo Pardios dixo la donçella mucho me Pesa caramjente	che porta lo scudo bianco non ne so io nulla|—A nome di Dio|dis ella	qui porte les blances armes|En nõ dieu fait elle il me poyse monlt chierement
				ciò pesa a mes	
7	Et il n en tient plus a li parole ains part		e boores non quiso conella|mas estar	E non tenne più a llei parole|anzi	A|donc sen part
8	si tost com il l ot commandee a Dieu a	ors le commande a dieu|& puis sen part de li	e acomendo la a dios|e fuese	si parti|si tosto come l à comandata a dDio	et ne uoult plus parler il la commãdee a dieu|et sen ua
9	et chevalche en tel maniere jusqu a tierce tant qu il vint a l issue de la forest;	& cheuauche en tel maniere iusques a tierce|Tant que il vint a lissue de la forest	e andubo tanto|que salio dela floresta	e cavalca tanto in tale maniera infino qua a terza|tanto che viene a l uscita della foresta	et cheuauche iusques a tieret eustes onques pitie de nulle gentille dãe oies tant quil uint a lissue de la foiest
10|11	et il torne a destre vers un chemin viés|et ancien;	et torne a destre en vn petit chemin viez	e dexo el camino|e tomo a mano derecha vn camino pequeño|e biejo lleno de yerba|e non andubo mucho	|e torna a destra inverso uno camino vecchio|e antico	et il tournta desire uers ung petit chemyn uieil:
